RECORDNAME,INTID,NBL2,NBL,NBT,NBR,SBL,SBT,SBR,EBU,EBL,EBT,EBR,EBR2,WBU,WBL,WBT,WBR,NEL,NET,NER,NWL2,NWL,NWT,NWR,SEL,SET,SER,SER2,SWL,SWT,SWR,PED,HOLD
Shared,7,,0,2,,0,2,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
Width,7,,12,12,12,12,12,12,12,12,12,12,,12,12,12,12,,,,,,,,,,,,,,,,
Storage,7,,105,,,100,,,,150,,240,,,50,,50,,,,,,,,,,,,,,,,
Taper,7,,25,,,25,,,,25,,25,,,25,,25,,,,,,,,,,,,,,,,
StLanes,7,,1,,,1,,,,1,,1,,,1,,1,,,,,,,,,,,,,,,,
Grade,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,7,,,40,,,40,,,,30,,,,,30,,,,,,,,,,,,,,,,,
Phase1,7,,,1,,,1,,,,2,,,,,2,,,,,,,,,,,,,,,,,
PermPhase1,7,,1,,,1,,,,2,,2,,,2,,2,,,,,,,,,,,,,,,,
LostTime,7,,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,,,,,,,,,,,,,,,,
Lost Time Adjust,7,,-2,-2,0,-2,-2,0,0,-2,-2,-2,,0,-2,-2,-2,,,,,,,,,,,,,,,,
IdealFlow,7,,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,,,,,,,,,,,,,,,,
SatFlow,7,,1770,5070,0,1770,5065,0,0,1770,1863,1583,,0,1770,1863,1583,,,,,,,,,,,,,,,,
SatFlowPerm,7,,419,5070,0,350,5065,0,0,1401,1863,1583,,0,1401,1863,1583,,,,,,,,,,,,,,,,
Allow RTOR,7,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
SatFlowRTOR,7,,0,5,0,0,6,0,0,0,0,54,,0,0,0,30,,,,,,,,,,,,,,,,
