[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,08/28/2023
ScenarioTime,10:52 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,3671,8231,0,,,,,,
2,1,5110,8629,0,,,,,,
3,0,4507,8340,0,,,,,,
4,1,4493,8585,0,,,,,,
5,1,4588,8008,0,,,,,,
6,3,-10209,4050,0,,,,,,
7,0,3701,8356,0,,,,,,
8,1,3701,8548,0,,,,,,
9,0,36,8837,0,,,,,,
10,0,1443,8710,0,,,,,,
11,1,1434,9006,0,,,,,,
12,1,1451,8453,0,,,,,,
13,1,-10083,4254,0,,,,,,
14,0,-1294,8642,0,,,,,,
15,1,-1309,8967,0,,,,,,
16,1,-1276,8264,0,,,,,,
17,1,46,9161,0,,,,,,
18,1,44,8349,0,,,,,,
20,0,-2767,8437,0,,,,,,
21,1,-2751,8308,0,,,,,,
Mandatory Distance,25,200,,,,,
Mandatory Distance2,25,1320,,,,,
Positioning Distance,25,880,,,,,
Positioning Distance2,25,1760,,,,,
Curve Pt X,25,-6093,,,,,
Curve Pt Y,25,8084,,,,,
Curve Pt Z,25,0,,,,,
Link Is Hidden,25,false,,,,,
Street Name Is Hidden,25,false,,,,,
Up ID,26,,24,,,,
Lanes,26,,1,,,,
Name,26,,Dry Creek Rd,,,,
Distance,26,,281,,,,
Speed,26,,30,,,,
Time,26,,6.4,,,,
Grade,26,,0,,,,
Median,26,,12,,,,
Offset,26,,0,,,,
TWLTL,26,,0,,,,
Crosswalk Width,26,,16,,,,
Mandatory Distance,26,,200,,,,
Mandatory Distance2,26,,1320,,,,
Positioning Distance,26,,880,,,,
Positioning Distance2,26,,1760,,,,
Curve Pt X,26,,,,,,
Curve Pt Y,26,,,,,,
Curve Pt Z,26,,,,,,
Link Is Hidden,26,,false,,,,
Street Name Is Hidden,26,,false,,,,
Up ID,30,,,,31,,
Lanes,30,,,,2,,
Name,30,,,,,,
Distance,30,,,,1009,,
Speed,30,,,,30,,
Time,30,,,,22.9,,
Grade,30,,,,0,,
Median,30,,,,12,,
Offset,30,,,,0,,
TWLTL,30,,,,0,,
Crosswalk Width,30,,,,16,,
Mandatory Distance,30,,,,200,,
Mandatory Distance2,30,,,,1320,,
Positioning Distance,30,,,,880,,
Positioning Distance2,30,,,,1760,,
Curve Pt X,30,,,,,,
Curve Pt Y,30,,,,,,
Curve Pt Z,30,,,,,,
Link Is Hidden,30,,,,false,,
Street Name Is Hidden,30,,,,false,,
Up ID,31,33,6,30,24,,
Lanes,31,3,2,4,4,,
Name,31,Red Rock Loop,,,SR 89A,,
Distance,31,382,314,1009,5690,,
Speed,31,30,30,30,30,,
Time,31,8.7,7.1,22.9,129.3,,
Grade,31,0,0,0,0,,
Median,31,12,12,12,12,,
Offset,31,0,0,0,0,,
TWLTL,31,0,0,0,0,,
Crosswalk Width,31,16,16,16,16,,
Mandatory Distance,31,500,500,500,500,,
Mandatory Distance2,31,1320,1320,1320,1320,,
Positioning Distance,31,880,880,880,880,,
Positioning Distance2,31,1760,1760,1760,1760,,
Curve Pt X,31,-9898,-10079,,-8097,,
Curve Pt Y,31,3750,4029,,4841,,
Curve Pt Z,31,0,0,,0,,
Link Is Hidden,31,false,false,false,false,,
Street Name Is Hidden,31,false,false,false,false,,
Up ID,32,,,,6,,
Lanes,32,,,,2,,
Name,32,,,,,,
Distance,32,,,,290,,
Speed,32,,,,30,,
Time,32,,,,6.6,,
Grade,32,,,,0,,
Median,32,,,,0,,
Offset,32,,,,0,,
TWLTL,32,,,,0,,
Crosswalk Width,32,,,,16,,
Mandatory Distance,32,,,,200,,
Mandatory Distance2,32,,,,1320,,
Positioning Distance,32,,,,880,,
Positioning Distance2,32,,,,1760,,
Curve Pt X,32,,,,,,
Curve Pt Y,32,,,,,,
Curve Pt Z,32,,,,,,
Link Is Hidden,32,,,,false,,
Street Name Is Hidden,32,,,,false,,
Up ID,33,,31,,,,
Lanes,33,,1,,,,
Name,33,,Red Rock Loop,,,,
Distance,33,,382,,,,
Speed,33,,30,,,,
Time,33,,8.7,,,,
Grade,33,,0,,,,
Median,33,,12,,,,
Offset,33,,0,,,,
TWLTL,33,,0,,,,
Crosswalk Width,33,,16,,,,
Mandatory Distance,33,,200,,,,
Mandatory Distance2,33,,1320,,,,
Positioning Distance,33,,880,,,,
Positioning Distance2,33,,1760,,,,
Curve Pt X,33,,-9835,,,,
Curve Pt Y,33,,3647,,,,
Curve Pt Z,33,,0,,,,
Link Is Hidden,33,,false,,,,
Street Name Is Hidden,33,,false,,,,

[Lanes]
Lane Group Data
RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,NWL,NWR,PED,HOLD
Up Node,3,5,5,5,4,4,4,7,7,7,2,2,2,,,,
Dest Node,3,7,4,2,2,5,7,4,2,5,5,7,4,,,,
Lanes,3,1,1,0,1,1,0,1,2,1,1,2,1,,,,
Shared,3,0,2,,0,2,,0,0,,0,0,,,,,
Width,3,12,12,12,12,12,12,12,12,12,12,12,12,,,,
Storage,3,,,,,,,260,,110,350,,200,,,,
Taper,3,,,,,,,25,,25,25,,25,,,,
StLanes,3,,,,,,,1,,1,1,,1,,,,
Grade,3,,,,,,,,,,,,,,,,
Speed,3,,30,,,30,,,35,,,35,,,,,
Phase1,3,,8,,,4,,1,6,,5,2,,,,,
PermPhase1,3,8,,,4,,,6,,6,2,,2,,,,
LostTime,3,6.1,6.1,4,6.1,6.1,4,4,4.9,4.9,4,4.9,4.9,,,,
Lost Time Adjust,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,
IdealFlow,3,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,
SatFlow,3,1770,1816,0,1770,1770,0,1770,3539,1583,1770,3539,1863,,,,
SatFlowPerm,3,1408,1816,0,1405,1770,0,520,3539,1583,564,3539,1863,,,,
Allow RTOR,3,1,1,1,1,1,1,1,1,1,1,1,1,,,,
SatFlowRTOR,3,0,1,0,0,1,0,0,0,55,0,0,0,,,,
Volume,3,73,5,1,16,2,1,9,780,1,35,914,0,,,,
Peds,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Bicycles,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,
