[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/17/2016
ScenarioTime,7:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,-4957,-133,0,,,,,,
2,0,-2327,-145,0,,,,,,
3,0,-1296,-147,0,,,,,,
4,0,82,-125,0,,,,,,
5,0,409,-133,0,,,,,,
6,0,1327,-127,0,,,,,,
7,0,2935,-116,0,,,,,,
8,0,4222,-97,0,,,,,,
9,0,5520,-77,0,,,,,,
10,1,2934,409,0,,,,,,
11,1,2936,-805,0,,,,,,
12,1,1176,561,0,,,,,,
13,1,1322,-619,0,,,,,,
14,1,4226,-824,0,,,,,,
15,1,-1298,511,0,,,,,,
16,1,-1294,-733,0,,,,,,
17,1,-6797,-138,0,,,,,,
18,1,-2325,453,0,,,,,,
19,1,-2331,-757,0,,,,,,
20,3,-671,-137,0,,,,,,
21,1,-669,255,0,,,,,,
22,1,-729,-463,0,,,,,,
23,3,-3654,-139,0,,,,,,
24,1,-3654,233,0,,,,,,
25,1,-3654,-479,0,,,,,,
26,3,2034,-122,0,,,,,,
27,1,2036,202,0,,,,,,
28,1,2031,-510,0,,,,,,
103,1,-4957,1135,0,,,,,,
104,1,131,1837,0,,,,,,
Street Name Is Hidden,28,,false,,
Up ID,103,1,,,
Lanes,103,3,,,
Name,103,35th Ave,,,
Distance,103,1268,,,
Speed,103,40,,,
Time,103,21.6,,,
Grade,103,0,,,
Median,103,12,,,
Offset,103,0,,,
TWLTL,103,0,,,
Crosswalk Width,103,16,,,
Mandatory Distance,103,200,,,
Mandatory Distance2,103,1761,,,
Positioning Distance,103,1174,,,
Positioning Distance2,103,2348,,,
Curve Pt X,103,,,,
Curve Pt Y,103,,,,
Curve Pt Z,103,,,,
Link Is Hidden,103,false,,,
Street Name Is Hidden,103,false,,,
Up ID,104,4,,,
Lanes,104,0,,,
Name,104,I-17 SB Frontage Rd,,,
Distance,104,1963,,,
Speed,104,45,,,
Time,104,29.7,,,
Grade,104,0,,,
Median,104,12,,,
Offset,104,0,,,
TWLTL,104,0,,,
Crosswalk Width,104,16,,,
Mandatory Distance,104,200,,,
Mandatory Distance2,104,1980,,,
Positioning Distance,104,1320,,,
Positioning Distance2,104,2640,,,
Curve Pt X,104,,,,
Curve Pt Y,104,,,,
Curve Pt Z,104,,,,
Link Is Hidden,104,false,,,
Street Name Is Hidden,104,false,,,
Up ID,105,5,,,
Lanes,105,*3,,,
Name,105,I-17 NB Frontage Rd,,,
Distance,105,596,,,
Speed,105,45,,,
Time,105,9.0,,,
Grade,105,0,,,
Median,105,0,,,
Offset,105,0,,,
TWLTL,105,0,,,
Crosswalk Width,105,16,,,
Mandatory Distance,105,200,,,
Mandatory Distance2,105,1980,,,
Positioning Distance,105,1320,,,
Positioning Distance2,105,2640,,,
Curve Pt X,105,,,,
Curve Pt Y,105,,,,
Curve Pt Z,105,,,,
Link Is Hidden,105,false,,,
