Offset,255,,0,,
TWLTL,255,,0,,
Crosswalk Width,255,,16,,
Mandatory Distance,255,,200,,
Mandatory Distance2,255,,1980,,
Positioning Distance,255,,1320,,
Positioning Distance2,255,,2640,,
Curve Pt X,255,,,,
Curve Pt Y,255,,,,
Curve Pt Z,255,,,,
Link Is Hidden,255,,false,,
Street Name Is Hidden,255,,false,,
Up ID,264,6,,,
Lanes,264,0,,,
Name,264,101 SB,,,
Distance,264,768,,,
Speed,264,45,,,
Time,264,11.6,,,
Grade,264,0,,,
Median,264,12,,,
Offset,264,0,,,
TWLTL,264,0,,,
Crosswalk Width,264,16,,,
Mandatory Distance,264,200,,,
Mandatory Distance2,264,1980,,,
Positioning Distance,264,1320,,,
Positioning Distance2,264,2640,,,
Curve Pt X,264,,,,
Curve Pt Y,264,,,,
Curve Pt Z,264,,,,
Link Is Hidden,264,false,,,
Street Name Is Hidden,264,false,,,
Up ID,269,7,,,
Lanes,269,2,,,
Name,269,101 NB,,,
Distance,269,662,,,
Speed,269,45,,,
Time,269,10.0,,,
Grade,269,0,,,
Median,269,0,,,
Offset,269,0,,,
TWLTL,269,0,,,
Crosswalk Width,269,16,,,
Mandatory Distance,269,200,,,
Mandatory Distance2,269,1980,,,
Positioning Distance,269,1320,,,
Positioning Distance2,269,2640,,,
Curve Pt X,269,,,,
Curve Pt Y,269,,,,
Curve Pt Z,269,,,,
Link Is Hidden,269,false,,,
Street Name Is Hidden,269,false,,,
Up ID,311,14,,,
Lanes,311,1,,,
Name,311,57th Ave,,,
Distance,311,1211,,,
Speed,311,25,,,
Time,311,33.0,,,
Grade,311,0,,,
Median,311,12,,,
Offset,311,0,,,
TWLTL,311,0,,,
Crosswalk Width,311,16,,,
Mandatory Distance,311,200,,,
Mandatory Distance2,311,1101,,,
Positioning Distance,311,734,,,
Positioning Distance2,311,1468,,,
Curve Pt X,311,17530,,,
Curve Pt Y,311,14593,,,
