[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.10
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,09/13/2011

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,93545,-61878,0,,,,,,
2,0,89290,-57617,0,,,,,,
3,0,87004,-55281,0,,,,,,
4,0,83193,-51392,0,,,,,,
5,0,82339,-50510,0,,,,,,
6,0,77833,-46274,0,,,,,,
7,0,73946,-42309,0,,,,,,
8,0,72815,-41148,0,,,,,,
9,0,72422,-40744,0,,,,,,
10,0,71413,-39751,0,,,,,,
11,0,67344,-36917,0,,,,,,
12,0,65902,-36444,0,,,,,,
13,0,65607,-36340,0,,,,,,
21,1,96223,-64530,0,,,,,,
38,1,83189,-50450,0,,,,,,
39,1,83195,-52103,0,,,,,,
40,1,82892,-50165,0,,,,,,
41,2,79318,-47411,0,,,,,,
44,1,77233,-46264,0,,,,,,
45,1,78631,-46264,0,,,,,,
46,1,77831,-46939,0,,,,,,
47,1,77831,-45777,0,,,,,,
49,1,73465,-42788,0,,,,,,
50,1,74372,-41858,0,,,,,,
51,1,72462,-41471,0,,,,,,
52,1,73162,-40829,0,,,,,,
54,1,71059,-40110,0,,,,,,
55,1,71873,-41214,0,,,,,,
56,1,72948,-40264,0,,,,,,
57,1,67332,-36151,0,,,,,,
60,1,67327,-38661,0,,,,,,
63,1,65477,-37884,0,,,,,,
64,1,65497,-37870,0,,,,,,
82,1,92220,-61894,0,,,,,,
Up ID,13,64,,114,12,,,,
Lanes,13,0,,3,5,,,,
Name,13,SR 101 Loop (SB),,Grand Avenue,Grand Avenue,,,,
Distance,13,1534,,2018,313,,,,
Speed,13,30,,45,37,,,,
Time,13,34.9,,30.6,5.8,,,,
Grade,13,0,,0,0,,,,
Median,13,0,,24,24,,,,
Offset,13,0,,0,0,,,,
TWLTL,13,0,,0,0,,,,
Crosswalk Width,13,16,,16,16,,,,
Mandatory Distance,13,875,,875,875,,,,
Mandatory Distance2,13,1320,,1980,1629,,,,
Positioning Distance,13,880,,1320,1086,,,,
Positioning Distance2,13,1760,,2640,2172,,,,
Curve Pt X,13,,,,,,,,
Curve Pt Y,13,,,,,,,,
Curve Pt Z,13,,,,,,,,
Link Is Hidden,13,false,,false,false,,,,
Street Name Is Hidden,13,false,,false,false,,,,
Up ID,21,,,,,,,1,
Lanes,21,,,,,,,3,
Name,21,,,,,,,Grand Avenue,
Distance,21,,,,,,,3769,
Speed,21,,,,,,,45,
Time,21,,,,,,,57.1,
Grade,21,,,,,,,0,
Median,21,,,,,,,12,
Offset,21,,,,,,,0,
TWLTL,21,,,,,,,0,
Crosswalk Width,21,,,,,,,16,
Mandatory Distance,21,,,,,,,200,
Mandatory Distance2,21,,,,,,,1980,
Positioning Distance,21,,,,,,,1320,
Positioning Distance2,21,,,,,,,2640,
Curve Pt X,21,,,,,,,,
Curve Pt Y,21,,,,,,,,
Curve Pt Z,21,,,,,,,,
Link Is Hidden,21,,,,,,,false,
Street Name Is Hidden,21,,,,,,,false,
Up ID,38,4,,,,,,,
Lanes,38,1,,,,,,,
Name,38,67th Avenue,,,,,,,
Distance,38,942,,,,,,,
Speed,38,30,,,,,,,
Time,38,21.4,,,,,,,
Grade,38,0,,,,,,,
Median,38,0,,,,,,,
Offset,38,0,,,,,,,
TWLTL,38,0,,,,,,,
Crosswalk Width,38,16,,,,,,,
Mandatory Distance,38,200,,,,,,,
Mandatory Distance2,38,1320,,,,,,,
Positioning Distance,38,880,,,,,,,
Positioning Distance2,38,1760,,,,,,,
Curve Pt X,38,,,,,,,,
Curve Pt Y,38,,,,,,,,
Curve Pt Z,38,,,,,,,,
Link Is Hidden,38,false,,,,,,,
Street Name Is Hidden,38,false,,,,,,,
Up ID,39,,4,,,,,,
Lanes,39,,*2,,,,,,
Name,39,,67th Avenue,,,,,,
Distance,39,,711,,,,,,
Speed,39,,30,,,,,,
Time,39,,16.2,,,,,,
Grade,39,,0,,,,,,
Median,39,,0,,,,,,
Offset,39,,0,,,,,,
TWLTL,39,,0,,,,,,
Crosswalk Width,39,,16,,,,,,
Mandatory Distance,39,,200,,,,,,
Mandatory Distance2,39,,1320,,,,,,
Positioning Distance,39,,880,,,,,,
Positioning Distance2,39,,1760,,,,,,
Curve Pt X,39,,,,,,,,
Curve Pt Y,39,,,,,,,,
Curve Pt Z,39,,,,,,,,
Link Is Hidden,39,,false,,,,,,
Street Name Is Hidden,39,,false,,,,,,
Up ID,40,,,5,,,,,
Lanes,40,,,1,,,,,
Name,40,,,Royal Palm,,,,,
Distance,40,,,652,,,,,
Speed,40,,,30,,,,,
Time,40,,,14.8,,,,,
Grade,40,,,0,,,,,
Median,40,,,12,,,,,
Offset,40,,,0,,,,,
TWLTL,40,,,0,,,,,
Crosswalk Width,40,,,16,,,,,
Mandatory Distance,40,,,200,,,,,
Mandatory Distance2,40,,,1320,,,,,
Positioning Distance,40,,,880,,,,,
Positioning Distance2,40,,,1760,,,,,
Curve Pt X,40,,,,,,,,
Curve Pt Y,40,,,,,,,,
Curve Pt Z,40,,,,,,,,
Link Is Hidden,40,,,false,,,,,
Street Name Is Hidden,40,,,false,,,,,
Up ID,41,,,6,5,,,,
Lanes,41,,,3,3,,,,
Name,41,,,Grand Avenue,Grand Avenue,,,,
Distance,41,,,1928,4418,,,,
Speed,41,,,42,25,,,,
Time,41,,,31.3,120.5,,,,
Grade,41,,,0,0,,,,
Median,41,,,12,12,,,,
Offset,41,,,0,0,,,,
TWLTL,41,,,0,0,,,,
Crosswalk Width,41,,,16,16,,,,
Mandatory Distance,41,,,100,100,,,,
Mandatory Distance2,41,,,1848,1101,,,,
Positioning Distance,41,,,1232,734,,,,
Positioning Distance2,41,,,2464,1468,,,,
Curve Pt X,41,,,78678,80693,,,,
Curve Pt Y,41,,,-47155,-48064,,,,
Curve Pt Z,41,,,0,0,,,,
Link Is Hidden,41,,,false,false,,,,
Street Name Is Hidden,41,,,false,false,,,,
Up ID,44,,,,6,,,,
Lanes,44,,,,1,,,,
Name,44,,,,Olive Avenue,,,,
Distance,44,,,,600,,,,
Speed,44,,,,30,,,,
Time,44,,,,13.6,,,,
Grade,44,,,,0,,,,
Median,44,,,,0,,,,
Offset,44,,,,0,,,,
TWLTL,44,,,,0,,,,
Crosswalk Width,44,,,,16,,,,
Mandatory Distance,44,,,,200,,,,
Mandatory Distance2,44,,,,1320,,,,
Positioning Distance,44,,,,880,,,,
Positioning Distance2,44,,,,1760,,,,
Curve Pt X,44,,,,,,,,
Curve Pt Y,44,,,,,,,,
Curve Pt Z,44,,,,,,,,
Link Is Hidden,44,,,,false,,,,
Street Name Is Hidden,44,,,,false,,,,
Up ID,45,,,6,,,,,
Lanes,45,,,1,,,,,
Name,45,,,Olive Avenue,,,,,
Distance,45,,,798,,,,,
Speed,45,,,30,,,,,
Time,45,,,18.1,,,,,
Grade,45,,,0,,,,,
Median,45,,,0,,,,,
Offset,45,,,0,,,,,
TWLTL,45,,,0,,,,,
Crosswalk Width,45,,,16,,,,,
Mandatory Distance,45,,,200,,,,,
Mandatory Distance2,45,,,1320,,,,,
Positioning Distance,45,,,880,,,,,
Positioning Distance2,45,,,1760,,,,,
Curve Pt X,45,,,,,,,,
Curve Pt Y,45,,,,,,,,
Curve Pt Z,45,,,,,,,,
Link Is Hidden,45,,,false,,,,,
Street Name Is Hidden,45,,,false,,,,,
Up ID,46,,6,,,,,,
Lanes,46,,2,,,,,,
Name,46,,75th Avenue,,,,,,
Distance,46,,665,,,,,,
Speed,46,,40,,,,,,
Time,46,,11.3,,,,,,
Grade,46,,0,,,,,,
Median,46,,12,,,,,,
Offset,46,,0,,,,,,
TWLTL,46,,1,,,,,,
Crosswalk Width,46,,16,,,,,,
Mandatory Distance,46,,200,,,,,,
Mandatory Distance2,46,,1761,,,,,,
Positioning Distance,46,,1174,,,,,,
Positioning Distance2,46,,2348,,,,,,
