mvmt_id,node_id,ib_link_id,ob_link_id,type,movement_name,num_lanes,volume,ib_lane_indices,ob_lane_indices,sumo_dir,is_turn_bay_connector,control,turning_speed_mps
115_116_130_SBT,116,115_116_bay,116_130,thru,SBT,2,605.0,"0,1","0,1",s,False,,26.8224
116_115_to_116_115_bay,116_115_bay_node,116_115,116_115_bay,thru,TURN_BAY_CONNECTOR,4,0.0,"0,1,2,2","0,1,2,3",s,True,free,
116_115_7292_NBL,115,116_115_bay,115_7292,left,NBL,1,17.0,3,0,l,False,,6.7056
116_115_114_NBT,115,116_115_bay,115_114,thru,NBT,2,1385.0,"1,2","0,1",s,False,,26.8224
116_115_7305_NBR,115,116_115_bay,115_7305,right,NBR,1,38.0,0,0,r,False,,4.02336
116_130_to_116_130_bay,116_130_bay_node,116_130,116_130_bay,thru,TURN_BAY_CONNECTOR,5,0.0,"0,0,1,1,1","0,1,2,3,4",s,True,free,
116_130_5246_SBL,130,116_130_bay,130_5246,left,SBL,2,109.0,"3,4","2,1",l,False,,6.7056
116_130_5261_SBT,130,116_130_bay,130_5261,thru,SBT,2,482.0,"1,2","0,1",s,False,,26.8224
116_130_126_SBR,130,116_130_bay,130_126,right,SBR,1,164.0,0,0,r,False,,4.02336
117_111_to_117_111_bay,117_111_bay_node,117_111,117_111_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,1,1","0,1,2",s,True,free,
117_111_112_SBL,111,117_111_bay,111_112,left,SBL,1,0.0,2,0,l,False,,6.7056
117_111_124_SBT,111,117_111_bay,111_124,thru,SBT,2,0.0,"0,1","0,1",s,False,,26.8224
117_91_to_117_91_bay,117_91_bay_node,117_91,117_91_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,1,1","0,1,2",s,True,free,
117_91_89_NBL,91,117_91_bay,91_89,left,NBL,1,261.0,2,1,l,False,,6.7056
117_91_71_NBT,91,117_91_bay,91_71,thru,NBT,2,953.0,"0,1","0,1",s,False,,26.8224
117_91_548_NBR,91,117_91_bay,91_548,right,NBR,1,63.0,0,0,r,False,,4.02336
118_108_to_118_108_bay,118_108_bay_node,118_108,118_108_bay,thru,TURN_BAY_CONNECTOR,5,0.0,"0,0,1,2,2","0,1,2,3,4",s,True,free,
118_108_363_NBL,108,118_108_bay,108_363,left,NBL,1,0.0,4,0,l,False,,6.7056
118_108_107_NBT,108,118_108_bay,108_107,thru,NBT,3,0.0,"1,2,3","0,1,2",s,False,,26.8224
118_108_473_NBR,108,118_108_bay,108_473,right,NBR,1,0.0,0,0,r,False,,4.02336
118_744_to_118_744_bay,118_744_bay_node,118_744,118_744_bay,thru,TURN_BAY_CONNECTOR,4,0.0,"0,0,1,1","0,1,2,3",s,True,free,
118_744_152_SBL,744,118_744_bay,744_152,left,SBL,1,357.0,3,2,l,False,,6.7056
118_744_495_SBT,744,118_744_bay,744_495,thru,SBT,2,300.0,"1,2","0,1",s,False,,26.8224
118_744_77_SBR,744,118_744_bay,744_77,right,SBR,1,88.0,0,0,r,False,,4.02336
119_120_to_119_120_bay,119_120_bay_node,119_120,119_120_bay,thru,TURN_BAY_CONNECTOR,5,0.0,"0,0,1,1,1","0,1,2,3,4",s,True,free,
119_120_5243_EBL,120,119_120_bay,120_5243,left,EBL,2,185.0,"3,4","1,0",l,False,,6.7056
119_120_121_EBT,120,119_120_bay,120_121,thru,EBT,2,668.0,"1,2","0,1",s,False,,26.8224
119_120_5275_EBR,120,119_120_bay,120_5275,right,EBR,1,296.0,0,0,r,False,,4.02336
11_10_to_11_10_bay,11_10_bay_node,11_10,11_10_bay,thru,TURN_BAY_CONNECTOR,5,0.0,"0,0,1,1,1","0,1,2,3,4",s,True,free,
11_10_17_WBL,10,11_10_bay,10_17,left,WBL,2,105.0,"3,4","2,1",l,False,,6.7056
11_10_9_WBT,10,11_10_bay,10_9,thru,WBT,2,573.0,"1,2","0,1",s,False,,26.8224
11_10_7_WBR,10,11_10_bay,10_7,right,WBR,1,1.0,0,0,r,False,,4.02336
11_12_to_11_12_bay,11_12_bay_node,11_12,11_12_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,1,1","0,1,2",s,True,free,
11_12_328_EBL,12,11_12_bay,12_328,left,EBL,2,71.0,"1,2","2,1",l,False,,6.7056
11_12_19_EBR,12,11_12_bay,12_19,right,EBR,1,87.0,0,0,r,False,,4.02336
120_119_to_120_119_bay,120_119_bay_node,120_119,120_119_bay,thru,TURN_BAY_CONNECTOR,4,0.0,"0,1,2,2","0,1,2,3",s,True,free,
120_119_365_WBL,119,120_119_bay,119_365,left,WBL,1,0.0,3,0,l,False,,6.7056
120_119_476_WBT,119,120_119_bay,119_476,thru,WBT,3,0.0,"0,1,2","0,1,2",s,False,,26.8224
120_121_to_120_121_bay,120_121_bay_node,120_121,120_121_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,1,1","0,1,2",s,True,free,
120_121_5245_EBL,121,120_121_bay,121_5245,left,EBL,1,86.0,2,1,l,False,,6.7056
120_121_122_EBT,121,120_121_bay,121_122,thru,EBT,2,641.0,"0,1","0,1",s,False,,26.8224
120_121_388_EBR,121,120_121_bay,121_388,right,EBR,1,52.0,0,0,r,False,,4.02336
121_120_to_121_120_bay,121_120_bay_node,121_120,121_120_bay,thru,TURN_BAY_CONNECTOR,6,0.0,"0,0,1,2,2,2","0,1,2,3,4,5",s,True,free,
121_120_5275_WBL,120,121_120_bay,120_5275,left,WBL,2,121.0,"4,5","2,1",l,False,,6.7056
121_120_119_WBT,120,121_120_bay,120_119,thru,WBT,3,1022.0,"1,2,3","0,1,2",s,False,,26.8224
121_120_5243_WBR,120,121_120_bay,120_5243,right,WBR,1,494.0,0,0,r,False,,4.02336
121_122_to_121_122_bay,121_122_bay_node,121_122,121_122_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,1,1","0,1,2",s,True,free,
121_122_7268_EBL,122,121_122_bay,122_7268,left,EBL,1,28.0,2,0,l,False,,6.7056
121_122_123_EBT,122,121_122_bay,122_123,thru,EBT,2,631.0,"0,1","0,1",s,False,,26.8224
121_122_7051_EBR,122,121_122_bay,122_7051,right,EBR,1,5.0,0,0,r,False,,4.02336
122_121_to_122_121_bay,122_121_bay_node,122_121,122_121_bay,thru,TURN_BAY_CONNECTOR,4,0.0,"0,1,2,2","0,1,2,3",s,True,free,
122_121_388_WBL,121,122_121_bay,121_388,left,WBL,1,57.0,3,1,l,False,,6.7056
122_121_120_WBT,121,122_121_bay,121_120,thru,WBT,3,1442.0,"0,1,2","0,1,2",s,False,,26.8224
122_121_5245_WBR,121,122_121_bay,121_5245,right,WBR,1,317.0,0,0,r,False,,4.02336
122_123_124_EBT,123,122_123,123_124,thru,EBT,2,886.0,"0,1","0,1",s,False,,26.8224
122_123_7050_EBR,123,122_123,123_7050,right,EBR,1,30.0,0,0,r,False,,4.02336
123_122_to_123_122_bay,123_122_bay_node,123_122,123_122_bay,thru,TURN_BAY_CONNECTOR,4,0.0,"0,1,2,2","0,1,2,3",s,True,free,
123_122_7051_WBL,122,123_122_bay,122_7051,left,WBL,1,8.0,3,0,l,False,,6.7056
123_122_121_WBT,122,123_122_bay,122_121,thru,WBT,3,1878.0,"0,1,2","0,1,2",s,False,,26.8224
123_122_7268_WBR,122,123_122_bay,122_7268,right,WBR,1,336.0,0,0,r,False,,4.02336
123_124_to_123_124_bay,123_124_bay_node,123_124,123_124_bay,thru,TURN_BAY_CONNECTOR,4,0.0,"0,0,1,1","0,1,2,3",s,True,free,
123_124_111_EBL,124,123_124_bay,124_111,left,EBL,1,170.0,3,1,l,False,,6.7056
123_124_125_EBT,124,123_124_bay,124_125,thru,EBT,2,585.0,"1,2","0,1",s,False,,26.8224
123_124_139_EBR,124,123_124_bay,124_139,right,EBR,1,202.0,0,0,r,False,,4.02336
124_111_to_124_111_bay,124_111_bay_node,124_111,124_111_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,1,1","0,1,2",s,True,free,
124_111_7254_NBL,111,124_111_bay,111_7254,left,NBL,1,0.0,2,0,l,False,,6.7056
124_111_117_NBT,111,124_111_bay,111_117,thru,NBT,2,0.0,"0,1","0,1",s,False,,26.8224
124_123_to_124_123_bay,124_123_bay_node,124_123,124_123_bay,thru,TURN_BAY_CONNECTOR,4,0.0,"0,1,2,2","0,1,2,3",s,True,free,
124_123_7050_WBL,123,124_123_bay,123_7050,left,WBL,1,49.0,3,0,l,False,,6.7056
124_123_122_WBT,123,124_123_bay,123_122,thru,WBT,3,2209.0,"0,1,2","0,1,2",s,False,,26.8224
124_125_to_124_125_bay,124_125_bay_node,124_125,124_125_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,1,1","0,1,2",s,True,free,
124_125_5265_EBL,125,124_125_bay,125_5265,left,EBL,1,89.0,2,1,l,False,,6.7056
124_125_127_EBT,125,124_125_bay,125_127,thru,EBT,2,555.0,"0,1","0,1",s,False,,26.8224
124_125_5266_EBR,125,124_125_bay,125_5266,right,EBR,1,39.0,0,0,r,False,,4.02336
124_139_to_124_139_bay,124_139_bay_node,124_139,124_139_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,1,1","0,1,2",s,True,free,
124_139_7043_SBL,139,124_139_bay,139_7043,left,SBL,1,5.0,2,0,l,False,,6.7056
124_139_5268_SBT,139,124_139_bay,139_5268,thru,SBT,2,792.0,"0,1","0,1",s,False,,26.8224
124_139_5267_SBR,139,124_139_bay,139_5267,right,SBR,1,21.0,0,0,r,False,,4.02336
125_124_to_125_124_bay,125_124_bay_node,125_124,125_124_bay,thru,TURN_BAY_CONNECTOR,4,0.0,"0,1,2,2","0,1,2,3",s,True,free,
125_124_139_WBL,124,125_124_bay,124_139,left,WBL,1,99.0,3,1,l,False,,6.7056
125_124_123_WBT,124,125_124_bay,124_123,thru,WBT,3,728.0,"0,1,2","0,1,2",s,False,,26.8224
125_124_111_WBR,124,125_124_bay,124_111,right,WBR,1,78.0,0,0,r,False,,4.02336
125_127_to_125_127_bay,125_127_bay_node,125_127,125_127_bay,thru,TURN_BAY_CONNECTOR,4,0.0,"0,0,1,1","0,1,2,3",s,True,free,
125_127_113_EBL,127,125_127_bay,127_113,left,EBL,1,143.0,3,2,l,False,,6.7056
125_127_128_EBT,127,125_127_bay,127_128,thru,EBT,2,503.0,"1,2","0,1",s,False,,26.8224
125_127_5263_EBR,127,125_127_bay,127_5263,right,EBR,1,129.0,0,0,r,False,,4.02336
126_129_to_126_129_bay,126_129_bay_node,126_129,126_129_bay,thru,TURN_BAY_CONNECTOR,5,0.0,"0,0,1,2,2","0,1,2,3,4",s,True,free,
126_129_7035_WBL,129,126_129_bay,129_7035,left,WBL,1,25.0,4,0,l,False,,6.7056
126_129_128_WBT,129,126_129_bay,129_128,thru,WBT,3,1796.0,"1,2,3","0,1,2",s,False,,26.8224
126_129_7266_WBR,129,126_129_bay,129_7266,right,WBR,1,195.0,0,0,r,False,,4.02336
126_130_to_126_130_bay,126_130_bay_node,126_130,126_130_bay,thru,TURN_BAY_CONNECTOR,5,0.0,"0,1,2,2,2","0,1,2,3,4",s,True,free,
126_130_116_EBL,130,126_130_bay,130_116,left,EBL,2,211.0,"3,4","2,1",l,False,,6.7056
126_130_5246_EBT,130,126_130_bay,130_5246,thru,EBT,3,535.0,"0,1,2","0,1,2",s,False,,26.8224
126_130_5261_EBR,130,126_130_bay,130_5261,right,EBR,1,162.0,0,0,r,False,,4.02336
