node_id,x_coord,y_coord,node_type,INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed,INTID_base,TYPE_DESC
202,-111.97288513267766,33.349198553773654,Signalized,202,0,6630,210,0,,,,,,,0,Signalized
203,-111.9659530552875,33.34921970106507,Signalized,203,0,8747,217,0,,,,,,,0,Signalized
204,-111.96319266662019,33.349228598461785,Signalized,204,0,9590,220,0,,,,,,,0,Signalized
205,-111.95857564369848,33.34923779787396,Signalized,205,0,11000,223,0,,,,,,,0,Signalized
206,-111.95441377164272,33.3492385115693,Signalized,206,0,12271,223,0,,,,,,,0,Signalized
207,-111.93854948900093,33.36500061413158,External Node,207,1,17116,5958,0,,,,,,,0,External Node
208,-111.94574293180459,33.34923955047582,Signalized,208,0,14919,223,0,,,,,,,0,Signalized
209,-111.93887633544982,33.34927841784404,Signalized,209,0,17016,237,0,,,,,,,0,Signalized
210,-111.92861408908178,33.34929753479965,Signalized,210,0,20150,244,0,,,,,,,0,Signalized
211,-111.91255984320192,33.35973863375123,External Node,211,1,25052,4044,0,,,,,,,0,External Node
212,-111.91017574198128,33.35969970203006,External Node,212,1,25780,4030,0,,,,,,,0,External Node
213,-111.91992032778212,33.34926379160582,Signalized,213,0,22805,232,0,,,,,,,0,Signalized
214,-111.90265209932792,33.36305070277232,External Node,214,1,28077,5250,0,,,,,,,0,External Node
215,-111.91122001523809,33.34926241640828,Signalized,215,0,25462,232,0,,,,,,,0,Signalized
216,-111.90689113346677,33.349291734809654,Signalized,216,0,26784,243,0,,,,,,,0,Signalized
217,-111.9124524986925,33.36953302160089,External Node,217,1,25084,7608,0,,,,,,,0,External Node
218,-111.91043822995688,33.36950515471795,External Node,218,1,25699,7598,0,,,,,,,0,External Node
219,-111.89803033701705,33.3493635990946,Signalized,219,0,29490,270,0,,,,,,,0,Signalized
220,-111.8944938703381,33.34939821629927,Signalized,220,0,30570,283,0,,,,,,,0,Signalized
221,-111.963230782132,33.345551554669036,Signalized,221,0,9578,-1118,0,,,,,,,0,Signalized
222,-111.92852296086623,33.34199292400091,Signalized,222,0,20178,-2414,0,,,,,,,0,Signalized
223,-111.89386821750486,33.37758304171354,Unsignalized,223,3,30757,10539,0,,,,,,,0,Unsignalized
224,-111.9263920325499,33.43364600946191,Signalized,224,0,20826,30937,0,,,,,,,0,Signalized
225,-111.92659722958213,33.44677102966824,Signalized,225,0,20763,35713,0,,,,,,,0,Signalized
226,-111.9631898176599,33.34032456393609,Signalized,226,0,9590,-3020,0,,,,,,,0,Signalized
227,-111.92705883333441,33.38311067555684,External Node,227,1,20624,12548,0,,,,,,,0,External Node
228,-111.96675331259178,33.334618524984265,Signalized,228,0,8501,-5096,0,,,,,,,0,Signalized
229,-111.96313561511005,33.33463588030997,Signalized,229,0,9606,-5090,0,,,,,,,0,Signalized
230,-111.91999354294889,33.36133094669989,External Node,230,1,22782,4623,0,,,,,,,0,External Node
231,-111.95434836656413,33.33466502747402,Signalized,231,0,12290,-5080,0,,,,,,,0,Signalized
232,-111.94568552136676,33.33468804622271,Signalized,232,0,14936,-5072,0,,,,,,,0,Signalized
233,-111.92005248065257,33.43693489566583,External Node,233,1,22760,32134,0,,,,,,,0,External Node
234,-111.93157387328132,33.35782518217501,External Node,234,1,19246,3347,0,,,,,,,0,External Node
235,-111.92550564548839,33.3579045531732,External Node,235,1,21099,3376,0,,,,,,,0,External Node
236,-111.92847112998928,33.33475426259205,Signalized,236,0,20194,-5048,0,,,,,,,0,Signalized
237,-111.91994307088578,33.35028610876088,External Node,237,1,22798,604,0,,,,,,,0,External Node
238,-111.91989758760886,33.34822773349069,External Node,238,1,22812,-145,0,,,,,,,0,External Node
239,-111.92000267177856,33.36533500363374,External Node,239,1,22779,6080,0,,,,,,,0,External Node
240,-111.91122070187829,33.33480984177666,Signalized,240,0,25463,-5027,0,,,,,,,0,Signalized
241,-111.89807334629934,33.3483248085761,External Node,241,1,29477,-108,0,,,,,,,0,External Node
242,-111.91236337773103,33.37217122682729,External Node,242,1,25111,8568,0,,,,,,,0,External Node
243,-111.96311649312953,33.32600664522449,Signalized,243,0,9611,-8230,0,,,,,,,0,Signalized
244,-111.89787276809798,33.3349357114934,Signalized,244,0,29540,-4980,0,,,,,,,0,Signalized
245,-111.89371483747955,33.33496187404051,Signalized,245,0,30810,-4970,0,,,,,,,0,Signalized
246,-111.96969168802464,33.43006622137991,Signalized,246,0,7615,29636,0,,,,,,,0,Signalized
247,-111.94853219426707,33.431142067948784,Signalized,247,0,14071,30026,0,,,,,,,0,Signalized
248,-111.92839639442606,33.32748261345918,Signalized,248,0,20217,-7694,0,,,,,,,0,Signalized
