RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Positioning Distance,24,1174,1174,880,880,,,,
Positioning Distance2,24,2348,2348,1760,1760,,,,
Curve Pt X,24,,,,,,,,
Curve Pt Y,24,,,,,,,,
Curve Pt Z,24,,,,,,,,
Link Is Hidden,24,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,24,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,25,395,396,36,38,,,,
Lanes,25,2,2,3,3,,,,
Name,25,Beck,Beck,University Drive,University Drive,,,,
Distance,25,552,542,1352,1258,,,,
Speed,25,30,30,40,40,,,,
Time,25,12.5,12.3,23,21.4,,,,
Grade,25,0,0,0,0,,,,
Median,25,12,12,12,12,,,,
Offset,25,0,0,0,0,,,,
TWLTL,25,0,0,0,0,,,,
Crosswalk Width,25,16,16,16,16,,,,
Mandatory Distance,25,458,458,458,458,,,,
Mandatory Distance2,25,1320,1320,1761,1761,,,,
Positioning Distance,25,880,880,1174,1174,,,,
Positioning Distance2,25,1760,1760,2348,2348,,,,
Curve Pt X,25,,,,,,,,
Curve Pt Y,25,,,,,,,,
Curve Pt Z,25,,,,,,,,
Link Is Hidden,25,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,25,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,26,514,,,,,,,
Lanes,26,0,,,,,,,
Name,26,ASU Ped #2,,,,,,,
Distance,26,199,,,,,,,
Speed,26,30,,,,,,,
Time,26,4.5,,,,,,,
Grade,26,0,,,,,,,
Median,26,0,,,,,,,
Offset,26,0,,,,,,,
TWLTL,26,0,,,,,,,
Crosswalk Width,26,16,,,,,,,
Mandatory Distance,26,200,,,,,,,
Mandatory Distance2,26,1320,,,,,,,
Positioning Distance,26,880,,,,,,,
Positioning Distance2,26,1760,,,,,,,
Curve Pt X,26,,,,,,,,
Curve Pt Y,26,,,,,,,,
Curve Pt Z,26,,,,,,,,
Link Is Hidden,26,FALSE,,,,,,,
Street Name Is Hidden,26,FALSE,,,,,,,
Up ID,27,30,28,23,512,,,,
Lanes,27,3,3,3,2,,,,
Name,27,Mill Avenue,Mill Avenue,5th Street,5th Street,,,,
Distance,27,410,360,1020,1540,,,,
Speed,27,30,30,30,30,,,,
Time,27,9.3,8.2,23.2,35,,,,
Grade,27,0,0,0,0,,,,
Median,27,12,12,12,12,,,,
Offset,27,0,0,0,0,,,,
TWLTL,27,0,0,0,0,,,,
Crosswalk Width,27,16,16,16,16,,,,
Mandatory Distance,27,458,458,458,458,,,,
Mandatory Distance2,27,1320,1320,1320,1320,,,,
Positioning Distance,27,880,880,880,880,,,,
Positioning Distance2,27,1760,1760,1760,1760,,,,
Curve Pt X,27,,,,,,,,
Curve Pt Y,27,,,,,,,,
Curve Pt Z,27,,,,,,,,
Link Is Hidden,27,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,27,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,28,27,511,7287,,,,,
Lanes,28,2,2,1,,,,,
Name,28,Mill Avenue,Mill Avenue,4th Street,,,,,
Distance,28,360,330,301,,,,,
Speed,28,30,30,30,,,,,
Time,28,8.2,7.5,6.8,,,,,
Grade,28,0,0,0,,,,,
Median,28,12,12,0,,,,,
Offset,28,0,0,0,,,,,
TWLTL,28,0,0,0,,,,,
Crosswalk Width,28,16,16,16,,,,,
Mandatory Distance,28,229,229,229,,,,,
Mandatory Distance2,28,1320,1320,1320,,,,,
Positioning Distance,28,880,880,880,,,,,
Positioning Distance2,28,1760,1760,1760,,,,,
Curve Pt X,28,,,,,,,,
Curve Pt Y,28,,,,,,,,
Curve Pt Z,28,,,,,,,,
Link Is Hidden,28,FALSE,FALSE,FALSE,,,,,
Street Name Is Hidden,28,FALSE,FALSE,FALSE,,,,,
Up ID,29,511,7004,5204,5205,,,,
Lanes,29,3,3,3,3,,,,
Name,29,Mill Avenue,Mill Avenue,Rio Salado Parkway,Rio Salado Parkway,,,,
Distance,29,810,432,589,457,,,,
Speed,29,30,30,30,35,,,,
Time,29,18.4,9.8,13.4,8.9,,,,
Grade,29,0,0,0,0,,,,
Median,29,12,12,12,12,,,,
Offset,29,0,0,0,0,,,,
TWLTL,29,0,0,0,0,,,,
Crosswalk Width,29,16,16,16,16,,,,
Mandatory Distance,29,458,458,458,458,,,,
Mandatory Distance2,29,1320,1320,1320,1539,,,,
Positioning Distance,29,880,880,880,1026,,,,
Positioning Distance2,29,1760,1760,1760,2052,,,,
Curve Pt X,29,,,,16802,,,,
Curve Pt Y,29,,,,29489,,,,
Curve Pt Z,29,,,,19643,,,,
