link_id,from_node_id,to_node_id,lanes,length_m,free_speed_mps,geometry,main_link_id,is_turn_bay_link
115_7292,115,7292,1,243.764014,13.4112,"POLYGON ((-111.909136 33.398341, -111.911757 33.398342, -111.911757 33.398309, -111.909136 33.398308, -111.909136 33.398341))",115_7292,False
115_7305,115,7305,1,39.021269,13.4112,"POLYGON ((-111.909148 33.398312, -111.908821 33.398092, -111.908796 33.398118, -111.909124 33.398338, -111.909148 33.398312))",115_7305,False
116_115,116,116_115_bay_node,3,153.864099,15.6464,"POLYGON ((-111.909077 33.396593, -111.909077 33.397981, -111.909195 33.397981, -111.909195 33.396593, -111.909077 33.396593))",116_115,False
116_115_bay,116_115_bay_node,115,4,38.1,15.6464,"POLYGON ((-111.909057 33.397981, -111.909057 33.398325, -111.909215 33.398325, -111.909215 33.397981, -111.909057 33.397981))",116_115,True
116_130,116,116_130_bay_node,2,327.533544,15.6464,"POLYGON ((-111.909176 33.396593, -111.909177 33.393639, -111.909098 33.393639, -111.909097 33.396593, -111.909176 33.396593))",116_130,False
116_130_bay,116_130_bay_node,130,5,77.724,15.6464,"POLYGON ((-111.909236 33.393639, -111.909236 33.392938, -111.909039 33.392938, -111.909039 33.393639, -111.909236 33.393639))",116_130,True
116_7288,116,7288,1,243.763891,13.4112,"POLYGON ((-111.909136 33.396577, -111.906515 33.396576, -111.906515 33.396609, -111.909136 33.39661, -111.909136 33.396577))",116_7288,False
117_111,117,117_111_bay_node,2,220.179826,13.4112,"POLYGON ((-111.939986 33.402591, -111.939896 33.400607, -111.939817 33.400609, -111.939907 33.402594, -111.939986 33.402591))",117_111,False
117_111_bay,117_111_bay_node,111,3,51.816,13.4112,"POLYGON ((-111.939915 33.400606, -111.939894 33.400139, -111.939776 33.400143, -111.939797 33.40061, -111.939915 33.400606))",117_111,True
117_451,117,451,1,170.04383,13.4112,"POLYGON ((-111.939947 33.402576, -111.938119 33.402554, -111.938118 33.402587, -111.939946 33.402609, -111.939947 33.402576))",117_451,False
117_452,117,452,1,173.700008,13.4112,"POLYGON ((-111.939946 33.402609, -111.941814 33.402631, -111.941815 33.402598, -111.939947 33.402576, -111.939946 33.402609))",117_452,False
117_91,117,117_91_bay_node,2,485.384702,15.6464,"POLYGON ((-111.939907 33.402593, -111.939925 33.40697, -111.940004 33.40697, -111.939986 33.402592, -111.939907 33.402593))",117_91,False
117_91_bay,117_91_bay_node,91,3,53.34,15.6464,"POLYGON ((-111.939906 33.40697, -111.939908 33.407451, -111.940026 33.407451, -111.940024 33.40697, -111.939906 33.40697))",117_91,True
118_108,118,118_108_bay_node,3,737.381857,20.1168,"POLYGON ((-111.978251 33.392865, -111.978224 33.399515, -111.978342 33.399515, -111.978369 33.392865, -111.978251 33.392865))",118_108,False
118_108_bay,118_108_bay_node,108,5,67.056,20.1168,"POLYGON ((-111.978184 33.399515, -111.978182 33.40012, -111.978379 33.40012, -111.978381 33.399515, -111.978184 33.399515))",118_108,True
118_296,118,296,2,443.656798,20.1168,"POLYGON ((-111.97831 33.392898, -111.98308 33.392896, -111.98308 33.39283, -111.97831 33.392832, -111.97831 33.392898))",118_296,False
118_476,118,476,2,301.661994,20.1168,"POLYGON ((-111.97831 33.392832, -111.975066 33.392833, -111.975066 33.392899, -111.97831 33.392898, -111.97831 33.392832))",118_476,False
118_744,118,118_744_bay_node,2,1536.957221,20.1168,"POLYGON ((-111.978349 33.392865, -111.978441 33.379004, -111.978363 33.379003, -111.97827 33.392865, -111.978349 33.392865))",118_744,False
118_744_bay,118_744_bay_node,744,4,83.82,20.1168,"POLYGON ((-111.978481 33.379004, -111.978486 33.378248, -111.978329 33.378247, -111.978323 33.379003, -111.978481 33.379004))",118_744,True
119_120,119,119_120_bay_node,2,982.384554,20.1168,"POLYGON ((-111.972281 33.392834, -111.961719 33.3929, -111.96172 33.392966, -111.972282 33.3929, -111.972281 33.392834))",119_120,False
119_120_bay,119_120_bay_node,120,5,76.2,20.1168,"POLYGON ((-111.961719 33.392851, -111.9609 33.392856, -111.960901 33.393021, -111.96172 33.393016, -111.961719 33.392851))",119_120,True
119_278,119,278,1,187.716424,13.4112,"POLYGON ((-111.972262 33.392867, -111.972236 33.394559, -111.972276 33.39456, -111.972301 33.392867, -111.972262 33.392867))",119_278,False
119_365,119,365,1,176.121664,13.4112,"POLYGON ((-111.972301 33.392867, -111.9723 33.391278, -111.972261 33.391278, -111.972262 33.392867, -111.972301 33.392867))",119_365,False
119_476,119,476,3,259.002559,20.1168,"POLYGON ((-111.972282 33.392916, -111.975066 33.392915, -111.975066 33.392816, -111.972281 33.392817, -111.972282 33.392916))",119_476,False
11_10,11,11_10_bay_node,2,684.460442,17.8816,"POLYGON ((-111.91803 33.440482, -111.925392 33.440375, -111.925391 33.440309, -111.918029 33.440416, -111.91803 33.440482))",11_10,False
11_10_bay,11_10_bay_node,10,5,94.488,17.8816,"POLYGON ((-111.925393 33.440424, -111.926409 33.440409, -111.926406 33.440244, -111.92539 33.440259, -111.925393 33.440424))",11_10,True
11_12,11,11_12_bay_node,2,706.928845,17.8816,"POLYGON ((-111.91803 33.440416, -111.910425 33.440353, -111.910425 33.440419, -111.918029 33.440482, -111.91803 33.440416))",11_12,False
11_12_bay,11_12_bay_node,12,3,77.724,17.8816,"POLYGON ((-111.910425 33.440337, -111.909589 33.44033, -111.909588 33.440429, -111.910424 33.440436, -111.910425 33.440337))",11_12,True
11_173,11,173,1,189.246605,13.4112,"POLYGON ((-111.918049 33.440449, -111.918017 33.438743, -111.917977 33.438743, -111.91801 33.44045, -111.918049 33.440449))",11_173,False
11_327,11,327,1,411.047626,13.4112,"POLYGON ((-111.91801 33.440449, -111.918009 33.444157, -111.918048 33.444157, -111.918049 33.440449, -111.91801 33.440449))",11_327,False
120_119,120,120_119_bay_node,3,1008.292554,20.1168,"POLYGON ((-111.960901 33.392988, -111.971741 33.39292, -111.97174 33.392821, -111.9609 33.392889, -111.960901 33.392988))",120_119,False
120_119_bay,120_119_bay_node,119,4,50.292,20.1168,"POLYGON ((-111.971741 33.392936, -111.972282 33.392933, -111.972281 33.392801, -111.97174 33.392804, -111.971741 33.392936))",120_119,True
120_121,120,120_121_bay_node,2,752.608024,20.1168,"POLYGON ((-111.9609 33.392905, -111.952808 33.392907, -111.952808 33.392973, -111.9609 33.392971, -111.9609 33.392905))",120_121,False
120_121_bay,120_121_bay_node,121,3,67.056,20.1168,"POLYGON ((-111.952808 33.39289, -111.952087 33.39289, -111.952088 33.392989, -111.952808 33.392989, -111.952808 33.39289))",120_121,True
120_5243,120,5243,2,109.391894,20.1168,"POLYGON ((-111.960861 33.392939, -111.960868 33.393925, -111.960946 33.393925, -111.96094 33.392938, -111.960861 33.392939))",120_5243,False
120_5275,120,5275,3,329.084715,13.4112,"POLYGON ((-111.960959 33.392938, -111.960958 33.38997, -111.96084 33.38997, -111.960841 33.392938, -111.960959 33.392938))",120_5275,False
121_120,121,121_120_bay_node,3,749.560024,20.1168,"POLYGON ((-111.952088 33.392989, -111.960147 33.392988, -111.960147 33.392889, -111.952087 33.39289, -111.952088 33.392989))",121_120,False
121_120_bay,121_120_bay_node,120,6,70.104,20.1168,"POLYGON ((-111.960147 33.393037, -111.9609 33.393037, -111.9609 33.392839, -111.960147 33.39284, -111.960147 33.393037))",121_120,True
