Mandatory Distance2,31,,,,1320,,,,
Positioning Distance,31,,,,880,,,,
Positioning Distance2,31,,,,1760,,,,
Curve Pt X,31,,,,12900,,,,
Curve Pt Y,31,,,,29872,,,,
Curve Pt Z,31,,,,0,,,,
Link Is Hidden,31,,,,false,,,,
Street Name Is Hidden,31,,,,false,,,,
Up ID,33,55,12,44,51,,,,
Lanes,33,4,4,2,3,,,,
Name,33,SR95,SR95,Chenoweth Rd,Chenoweth Rd,,,,
Distance,33,3966,6307,740,720,,,,
Speed,33,55,55,25,25,,,,
Time,33,49.2,78.2,20.2,19.6,,,,
Grade,33,0,0,0,0,,,,
Median,33,24,24,12,12,,,,
Offset,33,0,0,0,0,,,,
TWLTL,33,0,0,0,0,,,,
Crosswalk Width,33,16,16,16,16,,,,
Mandatory Distance,33,229,229,229,229,,,,
Mandatory Distance2,33,2421,2421,1101,1101,,,,
Positioning Distance,33,1614,1614,734,734,,,,
Positioning Distance2,33,3228,3228,1468,1468,,,,
Curve Pt X,33,,,,,,,,
Curve Pt Y,33,,,,,,,,
Curve Pt Z,33,,,,,,,,
Link Is Hidden,33,false,false,false,false,,,,
Street Name Is Hidden,33,false,false,false,false,,,,
Up ID,34,,,,,36,37,29,35
Lanes,34,,,,,3,3,4,3
Name,34,,,,,Mesquite Ave,SR95,SR95,Mesquite Ave
Distance,34,,,,,266,1198,3232,360
Speed,34,,,,,30,45,45,30
Time,34,,,,,6.0,18.2,49.0,8.2
Grade,34,,,,,0,0,0,0
Median,34,,,,,12,12,12,12
Offset,34,,,,,0,0,0,0
TWLTL,34,,,,,0,0,0,0
Crosswalk Width,34,,,,,16,16,16,16
Mandatory Distance,34,,,,,270,270,270,270
Mandatory Distance2,34,,,,,1320,1980,1980,1320
Positioning Distance,34,,,,,880,1320,1320,880
Positioning Distance2,34,,,,,1760,2640,2640,1760
Curve Pt X,34,,,,,,,13535,
Curve Pt Y,34,,,,,,,27671,
Curve Pt Z,34,,,,,,,0,
Link Is Hidden,34,,,,,false,false,false,false
Street Name Is Hidden,34,,,,,false,false,false,false
Up ID,35,,,,,34,,,
Lanes,35,,,,,1,,,
Name,35,,,,,Mesquite Ave,,,
Distance,35,,,,,360,,,
Speed,35,,,,,30,,,
Time,35,,,,,8.2,,,
Grade,35,,,,,0,,,
Median,35,,,,,12,,,
Offset,35,,,,,0,,,
TWLTL,35,,,,,0,,,
Crosswalk Width,35,,,,,16,,,
Mandatory Distance,35,,,,,200,,,
Mandatory Distance2,35,,,,,1320,,,
Positioning Distance,35,,,,,880,,,
Positioning Distance2,35,,,,,1760,,,
Curve Pt X,35,,,,,,,,
Curve Pt Y,35,,,,,,,,
Curve Pt Z,35,,,,,,,,
Link Is Hidden,35,,,,,false,,,
Street Name Is Hidden,35,,,,,false,,,
Up ID,36,,,,,,,,34
Lanes,36,,,,,,,,1
Name,36,,,,,,,,Mesquite Ave
Distance,36,,,,,,,,266
Speed,36,,,,,,,,30
Time,36,,,,,,,,6.0
Grade,36,,,,,,,,0
Median,36,,,,,,,,12
Offset,36,,,,,,,,0
TWLTL,36,,,,,,,,0
Crosswalk Width,36,,,,,,,,16
Mandatory Distance,36,,,,,,,,200
Mandatory Distance2,36,,,,,,,,1320
Positioning Distance,36,,,,,,,,880
Positioning Distance2,36,,,,,,,,1760
Curve Pt X,36,,,,,,,,
Curve Pt Y,36,,,,,,,,
Curve Pt Z,36,,,,,,,,
Link Is Hidden,36,,,,,,,,false
Street Name Is Hidden,36,,,,,,,,false
Up ID,37,,,,,39,40,34,38
Lanes,37,,,,,3,4,3,3
Name,37,,,,,Swanson Ave,SR95,SR95,Swanson Ave
Distance,37,,,,,215,2011,1198,282
Speed,37,,,,,25,30,45,30
Time,37,,,,,5.9,45.7,18.2,6.4
Grade,37,,,,,0,0,0,0
Median,37,,,,,12,12,12,12
Offset,37,,,,,0,0,0,0
TWLTL,37,,,,,0,0,0,0
Crosswalk Width,37,,,,,16,16,16,16
Mandatory Distance,37,,,,,270,270,270,270
Mandatory Distance2,37,,,,,1101,1320,1980,1320
Positioning Distance,37,,,,,734,880,1320,880
