[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
Distance,3,,1201,,,748,,,699,,,4574,,,
TravelTime,3,,27.3,,,17.0,,,15.9,,,104.0,,,
Right Channeled,3,,,0,,,0,,,0,,,0,,
Alignment,3,0,0,1,0,0,1,0,0,1,0,0,1,,
Enter Blocked,3,0,0,0,0,0,0,0,0,0,0,0,0,,
HeadwayFact,3,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,
Turning Speed,3,15,60,9,15,60,9,15,60,9,15,60,9,,
FirstDetect,3,20,100,,20,100,,20,100,,20,100,,,
LastDetect,3,0,0,,0,0,,0,0,,0,0,,,
DetectPhase1,3,2,2,,1,6,,4,4,,3,8,,,
DetectPhase2,3,0,0,,0,0,,0,0,,0,0,,,
DetectPhase3,3,0,0,,0,0,,0,0,,0,0,,,
DetectPhase4,3,0,0,,0,0,,0,0,,0,0,,,
SwitchPhase,3,0,0,,0,0,,0,0,,0,0,,,
numDetects,3,1,2,,1,2,,1,2,,1,2,,,
DetectPos1,3,0,0,,0,0,,0,0,,0,0,,,
DetectSize1,3,20,6,,20,6,,20,6,,20,6,,,
DetectType1,3,3,3,,3,3,,3,3,,3,3,,,
DetectExtend1,3,0,0,,0,0,,0,0,,0,0,,,
DetectQueue1,3,0,0,,0,0,,0,0,,0,0,,,
DetectDelay1,3,0,0,,0,0,,0,0,,0,0,,,
DetectPos2,3,,94,,,94,,,94,,,94,,,
DetectSize2,3,,6,,,6,,,6,,,6,,,
DetectType2,3,,3,,,3,,,3,,,3,,,
DetectExtend2,3,,0,,,0,,,0,,,0,,,
Exit Lanes,3,,0,,,0,,,0,,,0,,,
CBD,3,,0,,,,,,,,,,,,
Lane Group Flow,3,0,0,0,0,0,0,0,0,0,0,0,0,,
Up Node,6,11,11,11,3,3,3,7,7,7,8,8,8,,
Dest Node,6,7,3,8,8,11,7,3,8,11,11,7,3,,
Lanes,6,1,2,0,1,2,0,1,1,1,1,1,0,,
Shared,6,0,0,,0,0,,0,0,,0,0,,,
Width,6,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,6,155,,,170,,,110,,,,,,,
Taper,6,25,,,25,,,25,,,,,,,
StLanes,6,1,,,1,,,1,,,,,,,
Grade,6,,,,,,,,,,,,,,
Speed,6,,30,,,30,,,30,,,30,,,
Phase1,6,,2,,,6,,,4,,,8,,,
PermPhase1,6,2,,,6,,,4,,4,8,,,,
LostTime,6,4.5,4.5,4,4.5,4.5,4,4.5,4.5,4.5,4.5,4.5,4,,
Lost Time Adjust,6,0,0,0,0,0,0,0,0,0,0,0,0,,
IdealFlow,6,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,6,1863,3539,0,1863,3539,0,1863,1863,1863,1863,1863,0,,
SatFlowPerm,6,1863,3539,0,1863,3539,0,1863,1863,1863,1863,1863,0,,
Allow RTOR,6,1,1,1,1,1,1,1,1,1,1,1,1,,
SatFlowRTOR,6,0,0,0,0,0,0,0,0,0,0,0,0,,
Volume,6,0,0,0,0,0,0,0,0,0,0,0,0,,
Peds,6,0,0,0,0,0,0,0,0,0,0,0,0,,
Bicycles,6,0,0,0,0,0,0,0,0,0,0,0,0,,
PHF,6,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,
Growth,6,100,100,100,100,100,100,100,100,100,100,100,100,,
HeavyVehicles,6,2,2,2,2,2,2,2,2,2,2,2,2,,
BusStops,6,0,0,0,0,0,0,0,0,0,0,0,0,,
Midblock,6,,0,,,0,,,0,,,0,,,
Distance,6,,4214,,,1201,,,374,,,131,,,
TravelTime,6,,95.8,,,27.3,,,8.5,,,3.0,,,
Right Channeled,6,,,0,,,0,,,0,,,0,,
Alignment,6,0,0,1,0,0,1,0,0,1,0,0,1,,
Enter Blocked,6,0,0,0,0,0,0,0,0,0,0,0,0,,
HeadwayFact,6,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,
Turning Speed,6,15,60,9,15,60,9,15,60,9,15,60,9,,
FirstDetect,6,20,100,,20,100,,20,100,20,20,100,,,
LastDetect,6,0,0,,0,0,,0,0,0,0,0,,,
DetectPhase1,6,2,2,,6,6,,4,4,4,8,8,,,
DetectPhase2,6,0,0,,0,0,,0,0,0,0,0,,,
DetectPhase3,6,0,0,,0,0,,0,0,0,0,0,,,
DetectPhase4,6,0,0,,0,0,,0,0,0,0,0,,,
SwitchPhase,6,0,0,,0,0,,0,0,0,0,0,,,
numDetects,6,1,2,,1,2,,1,2,1,1,2,,,
DetectPos1,6,0,0,,0,0,,0,0,0,0,0,,,
DetectSize1,6,20,6,,20,6,,20,6,20,20,6,,,
DetectType1,6,3,3,,3,3,,3,3,3,3,3,,,
DetectExtend1,6,0,0,,0,0,,0,0,0,0,0,,,
DetectQueue1,6,0,0,,0,0,,0,0,0,0,0,,,
DetectDelay1,6,0,0,,0,0,,0,0,0,0,0,,,
DetectPos2,6,,94,,,94,,,94,,,94,,,
DetectSize2,6,,6,,,6,,,6,,,6,,,
DetectType2,6,,3,,,3,,,3,,,3,,,
DetectExtend2,6,,0,,,0,,,0,,,0,,,
Exit Lanes,6,,0,,,0,,,0,,,0,,,
CBD,6,,0,,,,,,,,,,,,
Lane Group Flow,6,0,0,0,0,0,0,0,0,0,0,0,0,,
Up Node,9,15,15,15,14,14,14,3,3,3,17,17,17,,
Dest Node,9,3,14,17,17,15,3,14,17,15,15,3,14,,
Lanes,9,1,1,0,1,1,1,2,2,0,1,2,1,,
Shared,9,0,2,,0,0,,0,0,,0,0,,,
Width,9,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,9,,,,,,85,250,,,160,,160,,
Taper,9,,,,,,25,25,,,25,,25,,
StLanes,9,,,,,,1,2,,,1,,1,,
Grade,9,,,,,,,,,,,,,,
Speed,9,,30,,,30,,,30,,,30,,,
Phase1,9,,2,,,6,,7,4,,3,8,,,
PermPhase1,9,2,,,6,,6,,,,,,8,,
LostTime,9,4.5,4.5,4,4.5,4.5,4.5,4.5,4.5,4,4.5,4.5,4.5,,
Lost Time Adjust,9,0,0,0,0,0,0,0,0,0,0,0,0,,
IdealFlow,9,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,9,1863,1863,0,1863,1863,1863,3614,3539,0,1863,3539,1863,,
SatFlowPerm,9,1863,1863,0,1863,1863,1863,3614,3539,0,1863,3539,1863,,
Allow RTOR,9,1,1,1,1,1,1,1,1,1,1,1,1,,
SatFlowRTOR,9,0,0,0,0,0,0,0,0,0,0,0,0,,
Volume,9,0,0,0,0,0,0,0,0,0,0,0,0,,
Peds,9,0,0,0,0,0,0,0,0,0,0,0,0,,
Bicycles,9,0,0,0,0,0,0,0,0,0,0,0,0,,
PHF,9,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,
Growth,9,100,100,100,100,100,100,100,100,100,100,100,100,,
HeavyVehicles,9,2,2,2,2,2,2,2,2,2,2,2,2,,
BusStops,9,0,0,0,0,0,0,0,0,0,0,0,0,,
Midblock,9,,0,,,0,,,0,,,0,,,
Distance,9,,306,,,538,,,4574,,,3025,,,
TravelTime,9,,7.0,,,12.2,,,104.0,,,68.8,,,
Right Channeled,9,,,0,,,0,,,0,,,0,,
Alignment,9,0,0,1,0,0,1,0,0,1,0,0,1,,
Enter Blocked,9,0,0,0,0,0,0,0,0,0,0,0,0,,
HeadwayFact,9,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,
Turning Speed,9,15,60,9,15,60,9,15,60,9,15,60,9,,
FirstDetect,9,20,100,,20,100,20,20,100,,20,100,20,,
LastDetect,9,0,0,,0,0,0,0,0,,0,0,0,,
DetectPhase1,9,2,2,,6,6,6,7,4,,3,8,8,,
DetectPhase2,9,0,0,,0,0,0,0,0,,0,0,0,,
DetectPhase3,9,0,0,,0,0,0,0,0,,0,0,0,,
DetectPhase4,9,0,0,,0,0,0,0,0,,0,0,0,,
SwitchPhase,9,0,0,,0,0,0,0,0,,0,0,0,,
numDetects,9,1,2,,1,2,1,1,2,,1,2,1,,
DetectPos1,9,0,0,,0,0,0,0,0,,0,0,0,,
DetectSize1,9,20,6,,20,6,20,20,6,,20,6,20,,
DetectType1,9,3,3,,3,3,3,3,3,,3,3,3,,
DetectExtend1,9,0,0,,0,0,0,0,0,,0,0,0,,
DetectQueue1,9,0,0,,0,0,0,0,0,,0,0,0,,
DetectDelay1,9,0,0,,0,0,0,0,0,,0,0,0,,
DetectPos2,9,,94,,,94,,,94,,,94,,,
DetectSize2,9,,6,,,6,,,6,,,6,,,
DetectType2,9,,3,,,3,,,3,,,3,,,
DetectExtend2,9,,0,,,0,,,0,,,0,,,
Exit Lanes,9,,0,,,0,,,0,,,0,,,
CBD,9,,0,,,,,,,,,,,,
Lane Group Flow,9,0,0,0,0,0,0,0,0,0,0,0,0,,
Up Node,11,10,10,10,6,6,6,12,12,12,13,13,13,,
Dest Node,11,12,6,13,13,10,12,6,13,10,10,12,6,,
Lanes,11,1,2,0,1,2,1,1,1,0,1,1,0,,
Shared,11,0,0,,0,0,,0,0,,0,0,,,
Width,11,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,11,355,,,370,,450,255,,,100,,,,
Taper,11,25,,,25,,25,25,,,25,,,,
StLanes,11,1,,,1,,1,1,,,1,,,,
Grade,11,,,,,,,,,,,,,,
Speed,11,,30,,,30,,,30,,,30,,,
Phase1,11,5,2,,1,6,,,4,,,8,,,
PermPhase1,11,2,,,6,,6,4,,,8,,,,
LostTime,11,4.5,4.5,4,4.5,4.5,4.5,4.5,4.5,4,4.5,4.5,4,,
Lost Time Adjust,11,0,0,0,0,0,0,0,0,0,0,0,0,,
IdealFlow,11,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,11,1863,3539,0,1863,3539,1863,1863,1863,0,1863,1863,0,,
SatFlowPerm,11,1863,3539,0,1863,3539,1863,1863,1863,0,1863,1863,0,,
Allow RTOR,11,1,1,1,1,1,1,1,1,1,1,1,1,,
SatFlowRTOR,11,0,0,0,0,0,0,0,0,0,0,0,0,,
Volume,11,0,0,0,0,0,0,0,0,0,0,0,0,,
Peds,11,0,0,0,0,0,0,0,0,0,0,0,0,,
Bicycles,11,0,0,0,0,0,0,0,0,0,0,0,0,,
PHF,11,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,
Growth,11,100,100,100,100,100,100,100,100,100,100,100,100,,
HeavyVehicles,11,2,2,2,2,2,2,2,2,2,2,2,2,,
BusStops,11,0,0,0,0,0,0,0,0,0,0,0,0,,
Midblock,11,,0,,,0,,,0,,,0,,,
Distance,11,,600,,,4214,,,627,,,593,,,
TravelTime,11,,13.6,,,95.8,,,14.3,,,13.5,,,
Right Channeled,11,,,0,,,0,,,0,,,0,,
Alignment,11,0,0,1,0,0,1,0,0,1,0,0,1,,
Enter Blocked,11,0,0,0,0,0,0,0,0,0,0,0,0,,
HeadwayFact,11,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,
Turning Speed,11,15,60,9,15,60,9,15,60,9,15,60,9,,
FirstDetect,11,20,100,,20,100,20,20,100,,20,100,,,
LastDetect,11,0,0,,0,0,0,0,0,,0,0,,,
DetectPhase1,11,5,2,,1,6,6,4,4,,8,8,,,
DetectPhase2,11,0,0,,0,0,0,0,0,,0,0,,,
DetectPhase3,11,0,0,,0,0,0,0,0,,0,0,,,
DetectPhase4,11,0,0,,0,0,0,0,0,,0,0,,,
SwitchPhase,11,0,0,,0,0,0,0,0,,0,0,,,
numDetects,11,1,2,,1,2,1,1,2,,1,2,,,
DetectPos1,11,0,0,,0,0,0,0,0,,0,0,,,
DetectSize1,11,20,6,,20,6,20,20,6,,20,6,,,
DetectType1,11,3,3,,3,3,3,3,3,,3,3,,,
DetectExtend1,11,0,0,,0,0,0,0,0,,0,0,,,
DetectQueue1,11,0,0,,0,0,0,0,0,,0,0,,,
DetectDelay1,11,0,0,,0,0,0,0,0,,0,0,,,
DetectPos2,11,,94,,,94,,,94,,,94,,,
DetectSize2,11,,6,,,6,,,6,,,6,,,
DetectType2,11,,3,,,3,,,3,,,3,,,
DetectExtend2,11,,0,,,0,,,0,,,0,,,
Exit Lanes,11,,0,,,0,,,0,,,0,,,
CBD,11,,0,,,,,,,,,,,,
Lane Group Flow,11,0,0,0,0,0,0,0,0,0,0,0,0,,
Up Node,17,,,,18,,18,9,9,,,16,16,,
Dest Node,17,,,,16,,9,18,16,,,9,18,,
