[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,294,1204,0,,,,,,
2,0,1230,945,0,,,,,,
3,0,2731,777,0,,,,,,
4,2,2952,559,0,,,,,,
5,1,2740,1045,0,,,,,,
6,2,3909,290,0,,,,,,
7,1,11947,2801,0,,,,,,
8,0,5217,127,0,,,,,,
9,1,5281,744,0,,,,,,
10,1,5191,-115,0,,,,,,
11,2,8419,-641,0,,,,,,
12,0,7363,-360,0,,,,,,
13,1,7369,-56,0,,,,,,
14,1,7393,-465,0,,,,,,
15,0,11462,2327,0,,,,,,
Curve Pt Z,23,,,,,,,,
Link Is Hidden,23,false,,,,,,,
Street Name Is Hidden,23,false,,,,,,,

[Lanes]
Lane Group Data
RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,NEL,NET,NER,NWL,NWT,NWR,SEL,SET,SER,SWL,SWT,SWR,PED,HOLD
Up Node,2,18,18,18,20,20,20,21,21,21,3,3,3,,,,,,,,,,,,,,
Dest Node,2,21,20,3,3,18,21,20,3,18,18,21,20,,,,,,,,,,,,,,
Lanes,2,0,1,1,0,0,0,2,1,0,0,1,1,,,,,,,,,,,,,,
Shared,2,0,1,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
Width,2,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Storage,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Taper,2,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,2,,30,,,30,,,30,,,30,,,,,,,,,,,,,,,
Phase1,2,,2,,,,,7,4,,,8,,,,,,,,,,,,,,,
PermPhase1,2,2,,2,,,,,,,,,8,,,,,,,,,,,,,,
LostTime,2,4.5,4.5,4.5,4,4,4,4.5,4.5,4,4,4.5,4.5,,,,,,,,,,,,,,
Lost Time Adjust,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
IdealFlow,2,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,,,
SatFlow,2,0,1863,1863,0,0,0,3614,1863,0,0,1863,1863,,,,,,,,,,,,,,
SatFlowPerm,2,0,1863,1863,0,0,0,3614,1863,0,0,1863,1863,,,,,,,,,,,,,,
Allow RTOR,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
SatFlowRTOR,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Volume,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Peds,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bicycles,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PHF,2,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
Growth,2,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
HeavyVehicles,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
BusStops,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Midblock,2,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
Distance,2,,520,,,388,,,424,,,1510,,,,,,,,,,,,,,,
TravelTime,2,,11.8,,,8.8,,,9.6,,,34.3,,,,,,,,,,,,,,,
Right Channeled,2,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,
Alignment,2,0,0,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,
Enter Blocked,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
HeadwayFact,2,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,
Turning Speed,2,15,60,9,15,60,9,15,60,9,15,60,9,,,,,,,,,,,,,,
FirstDetect,2,20,100,20,,,,20,100,,,100,20,,,,,,,,,,,,,,
LastDetect,2,0,0,0,,,,0,0,,,0,0,,,,,,,,,,,,,,
DetectPhase1,2,2,2,2,,,,7,4,,,8,8,,,,,,,,,,,,,,
DetectPhase2,2,0,0,0,,,,0,0,,,0,0,,,,,,,,,,,,,,
DetectPhase3,2,0,0,0,,,,0,0,,,0,0,,,,,,,,,,,,,,
DetectPhase4,2,0,0,0,,,,0,0,,,0,0,,,,,,,,,,,,,,
SwitchPhase,2,0,0,0,,,,0,0,,,0,0,,,,,,,,,,,,,,
numDetects,2,1,2,1,,,,1,2,,,2,1,,,,,,,,,,,,,,
DetectPos1,2,0,0,0,,,,0,0,,,0,0,,,,,,,,,,,,,,
DetectSize1,2,20,6,20,,,,20,6,,,6,20,,,,,,,,,,,,,,
DetectType1,2,3,3,3,,,,3,3,,,3,3,,,,,,,,,,,,,,
DetectExtend1,2,0,0,0,,,,0,0,,,0,0,,,,,,,,,,,,,,
DetectQueue1,2,0,0,0,,,,0,0,,,0,0,,,,,,,,,,,,,,
DetectDelay1,2,0,0,0,,,,0,0,,,0,0,,,,,,,,,,,,,,
DetectPos2,2,,94,,,,,,94,,,94,,,,,,,,,,,,,,,
DetectSize2,2,,6,,,,,,6,,,6,,,,,,,,,,,,,,,
DetectType2,2,,3,,,,,,3,,,3,,,,,,,,,,,,,,,
DetectExtend2,2,,0,,,,,,0,,,0,,,,,,,,,,,,,,,
Exit Lanes,2,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
CBD,2,,0,,,,,,,,,,,,,,,,,,,,,,,,
