[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/25/2021

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
2,0,9469,10754,0,,,,,,
3,2,6879,5140,0,,,,,,
4,1,8951,10783,0,,,,,,
5,0,17922,12891,0,,,,,,
6,0,10251,10736,0,,,,,,
7,1,10249,10963,0,,,,,,
8,1,9677,17580,0,,,,,,
9,0,11312,10875,0,,,,,,
10,1,10253,10515,0,,,,,,
11,1,11312,11136,0,,,,,,
12,1,11374,10694,0,,,,,,
13,0,9523,12317,0,,,,,,
14,1,9834,12311,0,,,,,,
15,2,9350,12314,0,,,,,,
16,1,9286,12383,0,,,,,,
17,0,9586,14218,0,,,,,,
18,1,9381,14222,0,,,,,,
19,1,9884,14212,0,,,,,,
20,0,9435,9279,0,,,,,,
21,1,9215,9282,0,,,,,,
22,1,9683,9275,0,,,,,,
23,1,18601,13211,0,,,,,,
24,0,8790,7115,0,,,,,,
25,1,8580,7273,0,,,,,,
26,1,9060,6913,0,,,,,,
28,1,17784,13296,0,,,,,,
29,1,18099,12621,0,,,,,,
30,4,9652,16951,0,,,28,40,1,18
31,1,6706,1816,0,,,,,,
Positioning Distance2,21,,,,1760,,,,
Curve Pt X,21,,,,,,,,
Curve Pt Y,21,,,,,,,,
Curve Pt Z,21,,,,,,,,
Link Is Hidden,21,,,,false,,,,
Street Name Is Hidden,21,,,,false,,,,
Up ID,22,,,20,,,,,
Lanes,22,,,1,,,,,
Name,22,,,Bonita St,,,,,
Distance,22,,,248,,,,,
Speed,22,,,30,,,,,
Time,22,,,5.6,,,,,
Grade,22,,,0,,,,,
Median,22,,,0,,,,,
Offset,22,,,0,,,,,
TWLTL,22,,,0,,,,,
Crosswalk Width,22,,,16,,,,,
Mandatory Distance,22,,,200,,,,,
Mandatory Distance2,22,,,1320,,,,,
Positioning Distance,22,,,880,,,,,
Positioning Distance2,22,,,1760,,,,,
Curve Pt X,22,,,,,,,,
Curve Pt Y,22,,,,,,,,
Curve Pt Z,22,,,,,,,,
Link Is Hidden,22,,,false,,,,,
Street Name Is Hidden,22,,,false,,,,,
Up ID,23,,,5,,,,,
Lanes,23,,,2,,,,,
Name,23,,,,,,,,
Distance,23,,,751,,,,,
Speed,23,,,30,,,,,
Time,23,,,17.1,,,,,
Grade,23,,,0,,,,,
Median,23,,,12,,,,,
Offset,23,,,0,,,,,
TWLTL,23,,,0,,,,,
Crosswalk Width,23,,,16,,,,,
Mandatory Distance,23,,,200,,,,,
Mandatory Distance2,23,,,1320,,,,,
Positioning Distance,23,,,880,,,,,
Positioning Distance2,23,,,1760,,,,,
Curve Pt X,23,,,,,,,,
Curve Pt Y,23,,,,,,,,
Curve Pt Z,23,,,,,,,,
Link Is Hidden,23,,,false,,,,,
Street Name Is Hidden,23,,,false,,,,,
Up ID,24,,,,,3,26,25,20
Lanes,24,,,,,3,3,2,3
Name,24,,,,,,,,
Distance,24,,,,,2748,337,263,2304
Speed,24,,,,,30,30,30,30
Time,24,,,,,62.5,7.7,6.0,52.4
Grade,24,,,,,0,0,0,0
Median,24,,,,,12,12,12,12
Offset,24,,,,,0,0,0,0
TWLTL,24,,,,,0,0,0,0
Crosswalk Width,24,,,,,16,16,16,16
Mandatory Distance,24,,,,,270,270,270,270
Mandatory Distance2,24,,,,,1320,1320,1320,1320
Positioning Distance,24,,,,,880,880,880,880
Positioning Distance2,24,,,,,1760,1760,1760,1760
Curve Pt X,24,,,,,,,,9326
Curve Pt Y,24,,,,,,,,7789
Curve Pt Z,24,,,,,,,,0
Link Is Hidden,24,,,,,false,false,false,false
Street Name Is Hidden,24,,,,,false,false,false,false
Up ID,25,,,,,,24,,
Lanes,25,,,,,,1,,
Name,25,,,,,,,,
Distance,25,,,,,,263,,
Speed,25,,,,,,30,,
Time,25,,,,,,6.0,,
Grade,25,,,,,,0,,
Median,25,,,,,,0,,
Offset,25,,,,,,0,,
TWLTL,25,,,,,,0,,
Crosswalk Width,25,,,,,,16,,
Mandatory Distance,25,,,,,,200,,
Mandatory Distance2,25,,,,,,1320,,
Positioning Distance,25,,,,,,880,,
Positioning Distance2,25,,,,,,1760,,
Curve Pt X,25,,,,,,,,
Curve Pt Y,25,,,,,,,,
Curve Pt Z,25,,,,,,,,
Link Is Hidden,25,,,,,,false,,
Street Name Is Hidden,25,,,,,,false,,
Up ID,26,,,,,,,24,
Lanes,26,,,,,,,1,
Name,26,,,,,,,,
Distance,26,,,,,,,337,
Speed,26,,,,,,,30,
Time,26,,,,,,,7.7,
Grade,26,,,,,,,0,
Median,26,,,,,,,12,
Offset,26,,,,,,,0,
TWLTL,26,,,,,,,0,
Crosswalk Width,26,,,,,,,16,
Mandatory Distance,26,,,,,,,200,
Mandatory Distance2,26,,,,,,,1320,
Positioning Distance,26,,,,,,,880,
Positioning Distance2,26,,,,,,,1760,
Curve Pt X,26,,,,,,,,
Curve Pt Y,26,,,,,,,,
Curve Pt Z,26,,,,,,,,
Link Is Hidden,26,,,,,,,false,
Street Name Is Hidden,26,,,,,,,false,
Up ID,28,5,,,,,,,
Lanes,28,1,,,,,,,
Name,28,,,,,,,,
Distance,28,434,,,,,,,
Speed,28,30,,,,,,,
Time,28,9.9,,,,,,,
Grade,28,0,,,,,,,
Median,28,12,,,,,,,
Offset,28,0,,,,,,,
TWLTL,28,0,,,,,,,
Crosswalk Width,28,16,,,,,,,
Mandatory Distance,28,200,,,,,,,
Mandatory Distance2,28,1320,,,,,,,
Positioning Distance,28,880,,,,,,,
