[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,09/14/2021
ScenarioTime,4:38 pm

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,2,9431,9004,0,,,,,,
2,1,10105,8320,0,,,,,,
3,0,9838,8704,0,,,,,,
4,1,10068,8935,0,,,,,,
5,1,3344,11879,0,,,,,,
6,0,2868,11874,0,,,,,,
7,2,3115,10595,0,,,,,,
8,4,1728,15276,0,,,28,40,1,18
9,1,2706,11853,0,,,,,,
10,2,6363,8862,0,,,,,,
11,1,810,17137,0,,,,,,
12,1,1459,15139,0,,,,,,
13,0,2164,14404,0,,,,,,
14,1,2616,14648,0,,,,,,
Median,21,,,,,12,,,
Offset,21,,,,,0,,,
TWLTL,21,,,,,0,,,
Crosswalk Width,21,,,,,16,,,
Mandatory Distance,21,,,,,200,,,
Mandatory Distance2,21,,,,,1320,,,
Positioning Distance,21,,,,,880,,,
Positioning Distance2,21,,,,,1760,,,
Curve Pt X,21,,,,,,,,
Curve Pt Y,21,,,,,,,,
Curve Pt Z,21,,,,,,,,
Link Is Hidden,21,,,,,false,,,
Street Name Is Hidden,21,,,,,false,,,
Up ID,22,,,,,,,,20
Lanes,22,,,,,,,,2
Name,22,,,,,,,,
Distance,22,,,,,,,,279
Speed,22,,,,,,,,30
Time,22,,,,,,,,6.3
Grade,22,,,,,,,,0
Median,22,,,,,,,,0
Offset,22,,,,,,,,0
TWLTL,22,,,,,,,,0
Crosswalk Width,22,,,,,,,,16
Mandatory Distance,22,,,,,,,,200
Mandatory Distance2,22,,,,,,,,1320
Positioning Distance,22,,,,,,,,880
Positioning Distance2,22,,,,,,,,1760
Curve Pt X,22,,,,,,,,
Curve Pt Y,22,,,,,,,,
Curve Pt Z,22,,,,,,,,
Link Is Hidden,22,,,,,,,,false
Street Name Is Hidden,22,,,,,,,,false

[Lanes]
Lane Group Data
RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,NEL,NET,NER,NWT,NWR,SEL,SET,SWL,SWT,SWR,PED,HOLD
Up Node,3,,,,,,,,,,,,,,,,2,2,1,1,4,,4,,
Dest Node,3,,,,,,,,,,,,,,,,1,4,4,2,2,,1,,
Lanes,3,,,,,,,,,,,,,,,,2,1,1,2,1,,1,,
Shared,3,,,,,,,,,,,,,,,,0,,0,0,0,,,,
Width,3,,,,,,,,,,,,,,,,12,12,12,12,12,,12,,
Storage,3,,,,,,,,,,,,,,,,,360,360,,220,,,,
Taper,3,,,,,,,,,,,,,,,,,25,25,,25,,,,
StLanes,3,,,,,,,,,,,,,,,,,1,1,,1,,,,
Grade,3,,,,,,,,,,,,,,,,,,,,,,,,
Speed,3,,,,,,,,,,,,,,,,30,,,30,30,,,,
Phase1,3,,,,,,,,,,,,,,,,2,,,6,8,,,,
PermPhase1,3,,,,,,,,,,,,,,,,,2,6,,,,8,,
LostTime,3,,,,,,,,,,,,,,,,4.5,4.5,4.5,4.5,4.5,,4.5,,
Lost Time Adjust,3,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,
IdealFlow,3,,,,,,,,,,,,,,,,1900,1900,1900,1900,1900,,1900,,
SatFlow,3,,,,,,,,,,,,,,,,3539,1863,1863,3539,1863,,1863,,
SatFlowPerm,3,,,,,,,,,,,,,,,,3539,1863,1863,3539,1863,,1863,,
Allow RTOR,3,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,
SatFlowRTOR,3,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,
Volume,3,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,
Peds,3,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,
Bicycles,3,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,
PHF,3,,,,,,,,,,,,,,,,0.92,0.92,0.92,0.92,0.92,,0.92,,
Growth,3,,,,,,,,,,,,,,,,100,100,100,100,100,,100,,
HeavyVehicles,3,,,,,,,,,,,,,,,,2,2,2,2,2,,2,,
BusStops,3,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,
Midblock,3,,,,,,,,,,,,,,,,0,,,0,0,,,,
Distance,3,,,,,,,,,,,,,,,,468,,,506,326,,,,
TravelTime,3,,,,,,,,,,,,,,,,10.6,,,11.5,7.4,,,,
Right Channeled,3,,,,,,,,,,,,,,,,,0,,0,,,0,,
Alignment,3,,,,,,,,,,,,,,,,0,1,0,0,0,,1,,
Enter Blocked,3,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,
HeadwayFact,3,,,,,,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,,1.00,,
Turning Speed,3,,,,,,,,,,,,,,,,60,9,15,60,15,,9,,
FirstDetect,3,,,,,,,,,,,,,,,,100,20,20,100,20,,20,,
LastDetect,3,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,
DetectPhase1,3,,,,,,,,,,,,,,,,2,2,6,6,8,,8,,
DetectPhase2,3,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,
DetectPhase3,3,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,
DetectPhase4,3,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,
SwitchPhase,3,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,
numDetects,3,,,,,,,,,,,,,,,,2,1,1,2,1,,1,,
DetectPos1,3,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,
DetectSize1,3,,,,,,,,,,,,,,,,6,20,20,6,20,,20,,
DetectType1,3,,,,,,,,,,,,,,,,3,3,3,3,3,,3,,
DetectExtend1,3,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,
DetectQueue1,3,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,
DetectDelay1,3,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,
DetectPos2,3,,,,,,,,,,,,,,,,94,,,94,,,,,
DetectSize2,3,,,,,,,,,,,,,,,,6,,,6,,,,,
DetectType2,3,,,,,,,,,,,,,,,,3,,,3,,,,,
DetectExtend2,3,,,,,,,,,,,,,,,,0,,,0,,,,,
Exit Lanes,3,,,,,,,,,,,,,,,,0,,,0,0,,,,
CBD,3,,,,,,,,,,,,,,,,0,,,,,,,,
Lane Group Flow,3,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,
Up Node,6,7,7,7,13,13,13,9,9,9,5,5,5,,,,,,,,,,,,
Dest Node,6,9,13,5,5,7,9,13,5,7,7,9,13,,,,,,,,,,,,
Lanes,6,1,2,1,1,2,0,0,0,0,1,0,1,,,,,,,,,,,,
Shared,6,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,
Width,6,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,
Storage,6,420,,420,390,,,,,,300,,,,,,,,,,,,,,
Taper,6,25,,25,25,,,,,,25,,,,,,,,,,,,,,
StLanes,6,1,,1,1,,,,,,1,,,,,,,,,,,,,,
Grade,6,,,,,,,,,,,,,,,,,,,,,,,,
Speed,6,,30,,,30,,,30,,,30,,,,,,,,,,,,,
Phase1,6,,2,,,6,,,,,,,,,,,,,,,,,,,
PermPhase1,6,2,,2,6,,,,,,8,,8,,,,,,,,,,,,
LostTime,6,4.5,4.5,4.5,4.5,4.5,4,4,4,4,4.5,4,4.5,,,,,,,,,,,,
Lost Time Adjust,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
