[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/19/2018
ScenarioTime,7:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,-3975,1616,0,,,,,,
2,0,-2660,1620,0,,,,,,
3,0,-15,1608,0,,,,,,
4,0,705,1603,0,,,,,,
5,0,1320,1586,0,,,,,,
6,0,18,-997,0,,,,,,
7,0,835,-1,0,,,,,,
8,0,735,-989,0,,,,,,
9,0,1410,97,0,,,,,,
10,0,1475,-989,0,,,,,,
11,0,-27,-144,0,,,,,,
36,1,120,-146,0,,,,,,
901,1,-5250,1621,0,,,,,,
902,1,-3970,4166,0,,,,,,
903,1,-2680,4172,0,,,,,,
904,1,-70,4159,0,,,,,,
905,1,727,4159,0,,,,,,
906,1,1311,4159,0,,,,,,
907,1,2656,1571,0,,,,,,
908,1,-3955,324,0,,,,,,
909,1,-2632,-932,0,,,,,,
910,1,-2609,-999,0,,,,,,
911,1,-1254,62,0,,,,,,
912,1,-1654,-107,0,,,,,,
913,1,575,90,0,,,,,,
914,1,750,-182,0,,,,,,
Speed,905,25,,,,,
Time,905,69.7,,,,,
Grade,905,0,,,,,
Median,905,12,,,,,
Offset,905,0,,,,,
TWLTL,905,0,,,,,
Crosswalk Width,905,16,,,,,
Mandatory Distance,905,200,,,,,
Mandatory Distance2,905,1101,,,,,
Positioning Distance,905,734,,,,,
Positioning Distance2,905,1468,,,,,
Curve Pt X,905,,,,,,
Curve Pt Y,905,,,,,,
Curve Pt Z,905,,,,,,
Link Is Hidden,905,false,,,,,
Street Name Is Hidden,905,false,,,,,
Up ID,906,5,,,,,
Lanes,906,2,,,,,
Name,906,3rd Avenue,,,,,
Distance,906,2573,,,,,
Speed,906,25,,,,,
Time,906,70.2,,,,,
Grade,906,0,,,,,
Median,906,0,,,,,
Offset,906,0,,,,,
TWLTL,906,0,,,,,
Crosswalk Width,906,16,,,,,
Mandatory Distance,906,200,,,,,
Mandatory Distance2,906,1101,,,,,
Positioning Distance,906,734,,,,,
Positioning Distance2,906,1468,,,,,
Curve Pt X,906,,,,,,
Curve Pt Y,906,,,,,,
Curve Pt Z,906,,,,,,
Link Is Hidden,906,false,,,,,
Street Name Is Hidden,906,false,,,,,
Up ID,907,,,5,,,
Lanes,907,,,2,,,
Name,907,,,McDowell Road,,,
Distance,907,,,1336,,,
Speed,907,,,35,,,
Time,907,,,26.0,,,
Grade,907,,,0,,,
Median,907,,,0,,,
Offset,907,,,0,,,
TWLTL,907,,,1,,,
Crosswalk Width,907,,,16,,,
Mandatory Distance,907,,,200,,,
Mandatory Distance2,907,,,1539,,,
Positioning Distance,907,,,1026,,,
Positioning Distance2,907,,,2052,,,
Curve Pt X,907,,,,,,
Curve Pt Y,907,,,,,,
Curve Pt Z,907,,,,,,
Link Is Hidden,907,,,false,,,
Street Name Is Hidden,907,,,false,,,
Up ID,908,,1,,,,
Lanes,908,,2,,,,
Name,908,,17th Avenue,,,,
Distance,908,,1292,,,,
Speed,908,,25,,,,
Time,908,,35.2,,,,
Grade,908,,0,,,,
Median,908,,0,,,,
Offset,908,,0,,,,
TWLTL,908,,0,,,,
Crosswalk Width,908,,16,,,,
Mandatory Distance,908,,200,,,,
Mandatory Distance2,908,,1101,,,,
Positioning Distance,908,,734,,,,
Positioning Distance2,908,,1468,,,,
Curve Pt X,908,,,,,,
Curve Pt Y,908,,,,,,
Curve Pt Z,908,,,,,,
Link Is Hidden,908,,false,,,,
Street Name Is Hidden,908,,false,,,,
Up ID,909,,2,,,,
Lanes,909,,1,,,,
Name,909,,15th Avenue,,,,
Distance,909,,2552,,,,
Speed,909,,35,,,,
Time,909,,49.7,,,,
Grade,909,,0,,,,
Median,909,,12,,,,
Offset,909,,0,,,,
TWLTL,909,,1,,,,
Crosswalk Width,909,,16,,,,
Mandatory Distance,909,,200,,,,
Mandatory Distance2,909,,1539,,,,
Positioning Distance,909,,1026,,,,
Positioning Distance2,909,,2052,,,,
Curve Pt X,909,,,,,,
Curve Pt Y,909,,,,,,
Curve Pt Z,909,,,,,,
Link Is Hidden,909,,false,,,,
Street Name Is Hidden,909,,false,,,,
Up ID,910,,,,6,,
Lanes,910,,,,1,,
Name,910,,,,Roosevelt Street,,
Distance,910,,,,2627,,
Speed,910,,,,30,,
Time,910,,,,59.7,,
Grade,910,,,,0,,
Median,910,,,,12,,
Offset,910,,,,0,,
TWLTL,910,,,,0,,
Crosswalk Width,910,,,,16,,
Mandatory Distance,910,,,,200,,
Mandatory Distance2,910,,,,1320,,
Positioning Distance,910,,,,880,,
Positioning Distance2,910,,,,1760,,
Curve Pt X,910,,,,,,
Curve Pt Y,910,,,,,,
Curve Pt Z,910,,,,,,
Link Is Hidden,910,,,,false,,
Street Name Is Hidden,910,,,,false,,
Up ID,911,,,,919,,
Lanes,911,,,,2,,
Name,911,,,,I-10WB Ramp,,
Distance,911,,,,965,,
Speed,911,,,,45,,
Time,911,,,,14.6,,
Grade,911,,,,0,,
Median,911,,,,0,,
Offset,911,,,,0,,
TWLTL,911,,,,0,,
Crosswalk Width,911,,,,16,,
Mandatory Distance,911,,,,200,,
Mandatory Distance2,911,,,,1980,,
Positioning Distance,911,,,,1320,,
Positioning Distance2,911,,,,2640,,
Curve Pt X,911,,,,,,
Curve Pt Y,911,,,,,,
Curve Pt Z,911,,,,,,
Link Is Hidden,911,,,,false,,
Street Name Is Hidden,911,,,,false,,
Up ID,912,,,,920,,
Lanes,912,,,,0,,
Name,912,,,,I-10EB Ramp,,
Distance,912,,,,1347,,
Speed,912,,,,30,,
Time,912,,,,30.6,,
Grade,912,,,,0,,
Median,912,,,,0,,
Offset,912,,,,0,,
TWLTL,912,,,,0,,
Crosswalk Width,912,,,,16,,
Mandatory Distance,912,,,,200,,
Mandatory Distance2,912,,,,1320,,
Positioning Distance,912,,,,880,,
Positioning Distance2,912,,,,1760,,
Curve Pt X,912,,,,,,
Curve Pt Y,912,,,,,,
Curve Pt Z,912,,,,,,
Link Is Hidden,912,,,,false,,
Street Name Is Hidden,912,,,,false,,
Up ID,913,,,921,,,
Lanes,913,,,*0,,,
Name,913,,,I-10WB Ramp,,,
Distance,913,,,347,,,
Speed,913,,,30,,,
Time,913,,,7.9,,,
Grade,913,,,0,,,
Median,913,,,0,,,
Offset,913,,,0,,,
TWLTL,913,,,0,,,
Crosswalk Width,913,,,16,,,
Mandatory Distance,913,,,200,,,
Mandatory Distance2,913,,,1320,,,
Positioning Distance,913,,,880,,,
Positioning Distance2,913,,,1760,,,
Curve Pt X,913,,,,,,
Curve Pt Y,913,,,,,,
Curve Pt Z,913,,,,,,
Link Is Hidden,913,,,false,,,
Street Name Is Hidden,913,,,false,,,
Up ID,914,,,922,,,
Lanes,914,,,2,,,
Name,914,,,I-10EB Ramp,,,
Distance,914,,,471,,,
Speed,914,,,45,,,
Time,914,,,7.1,,,
Grade,914,,,0,,,
Median,914,,,0,,,
Offset,914,,,0,,,
TWLTL,914,,,0,,,
Crosswalk Width,914,,,16,,,
Mandatory Distance,914,,,200,,,
Mandatory Distance2,914,,,1980,,,
Positioning Distance,914,,,1320,,,
Positioning Distance2,914,,,2640,,,
Curve Pt X,914,,,,,,
Curve Pt Y,914,,,,,,
Curve Pt Z,914,,,,,,
Link Is Hidden,914,,,false,,,
Street Name Is Hidden,914,,,false,,,
Up ID,915,,,10,,,
Lanes,915,,,1,,,
Name,915,,,Roosevelt Street,,,
Distance,915,,,923,,,
Speed,915,,,30,,,
Time,915,,,21.0,,,
Grade,915,,,0,,,
Median,915,,,*12,,,
Offset,915,,,0,,,
TWLTL,915,,,1,,,
Crosswalk Width,915,,,16,,,
Mandatory Distance,915,,,200,,,
Mandatory Distance2,915,,,1320,,,
Positioning Distance,915,,,880,,,
Positioning Distance2,915,,,1760,,,
Curve Pt X,915,,,,,,
Curve Pt Y,915,,,,,,
Curve Pt Z,915,,,,,,
Link Is Hidden,915,,,false,,,
Street Name Is Hidden,915,,,false,,,
Up ID,916,,6,,,,
Lanes,916,,2,,,,
Name,916,,7th Avenue,,,,
Distance,916,,2524,,,,
Speed,916,,35,,,,
Time,916,,49.2,,,,
Grade,916,,0,,,,
Median,916,,12,,,,
Offset,916,,0,,,,
TWLTL,916,,1,,,,
Crosswalk Width,916,,16,,,,
Mandatory Distance,916,,200,,,,
Mandatory Distance2,916,,1539,,,,
Positioning Distance,916,,1026,,,,
Positioning Distance2,916,,2052,,,,
Curve Pt X,916,,,,,,
Curve Pt Y,916,,,,,,
Curve Pt Z,916,,,,,,
Link Is Hidden,916,,false,,,,
Street Name Is Hidden,916,,false,,,,
Up ID,917,,8,,,,
Lanes,917,,2,,,,
