[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,05/19/2021

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,3,2405,-1648,0,,,,,,
2,3,2398,-2913,0,,,,,,
3,0,2390,-4253,0,,,,,,
4,3,4431,-4273,0,,,,,,
5,3,4910,-4270,0,,,,,,
6,3,7680,-4267,0,,,,,,
7,3,2395,-3490,0,,,,,,
8,3,2387,-3846,0,,,,,,
9,3,3085,-4256,0,,,,,,
10,3,3770,-4260,0,,,,,,
11,1,3431,-2891,0,,,,,,
12,1,2411,-701,0,,,,,,
13,1,7681,-3011,0,,,,,,
14,1,1571,-4251,0,,,,,,
15,1,4419,-4964,0,,,,,,
16,1,9421,-4271,0,,,,,,
17,1,4896,-4948,0,,,,,,
18,1,7677,-4784,0,,,,,,
19,1,81,-1641,0,,,,,,
Distance,23,582,,,
Speed,23,30,,,
Time,23,13.2,,,
Grade,23,0,,,
Median,23,0,,,
Offset,23,0,,,
TWLTL,23,0,,,
Crosswalk Width,23,16,,,
Mandatory Distance,23,200,,,
Mandatory Distance2,23,1320,,,
Positioning Distance,23,880,,,
Positioning Distance2,23,1760,,,
Curve Pt X,23,,,,
Curve Pt Y,23,,,,
Curve Pt Z,23,,,,
Link Is Hidden,23,false,,,
Street Name Is Hidden,23,false,,,
Up ID,24,,3,,
Lanes,24,,2,,
Name,24,,State Route 387,,
Distance,24,,1538,,
Speed,24,,30,,
Time,24,,35.0,,
Grade,24,,0,,
Median,24,,12,,
Offset,24,,0,,
TWLTL,24,,0,,
Crosswalk Width,24,,16,,
Mandatory Distance,24,,200,,
Mandatory Distance2,24,,1320,,
Positioning Distance,24,,880,,
Positioning Distance2,24,,1760,,
Curve Pt X,24,,,,
Curve Pt Y,24,,,,
Curve Pt Z,24,,,,
Link Is Hidden,24,,false,,
Street Name Is Hidden,24,,false,,
Up ID,25,9,,,
Lanes,25,1,,,
Name,25,Driveway C,,,
Distance,25,478,,,
Speed,25,30,,,
Time,25,10.9,,,
Grade,25,0,,,
Median,25,0,,,
Offset,25,0,,,
TWLTL,25,0,,,
Crosswalk Width,25,16,,,
Mandatory Distance,25,200,,,
Mandatory Distance2,25,1320,,,
Positioning Distance,25,880,,,
Positioning Distance2,25,1760,,,
Curve Pt X,25,,,,
Curve Pt Y,25,,,,
Curve Pt Z,25,,,,
Link Is Hidden,25,false,,,
Street Name Is Hidden,25,false,,,
Up ID,26,,,,2
Lanes,26,,,,1
Name,26,,,,Havasupai Drive
Distance,26,,,,2317
Speed,26,,,,30
Time,26,,,,52.7
Grade,26,,,,0
Median,26,,,,0
Offset,26,,,,0
TWLTL,26,,,,0
Crosswalk Width,26,,,,16
Mandatory Distance,26,,,,200
