[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/03/2016
ScenarioTime,7:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,-2456,151,0,,,,,,
2,1,-1023,511,0,,,,,,
3,1,-1146,-875,0,,,,,,
4,1,2805,-744,0,,,,,,
5,1,2809,351,0,,,,,,
6,3,969,-124,0,,,,,,
7,1,4450,199,0,,,,,,
8,1,4446,-335,0,,,,,,
9,1,-535,-544,0,,,,,,
10,1,-2462,-785,0,,,,,,
11,0,-5105,-140,0,,,,,,
12,0,-3602,-124,0,,,,,,
13,0,-2455,-124,0,,,,,,
14,0,-1132,-117,0,,,,,,
15,0,45,-121,0,,,,,,
16,0,1505,-125,0,,,,,,
17,0,2809,-123,0,,,,,,
18,0,4446,-116,0,,,,,,
19,0,5440,-115,0,,,,,,
20,1,-3609,-388,0,,,,,,
21,1,970,235,0,,,,,,
22,1,968,-479,0,,,,,,
23,1,-522,137,0,,,,,,
24,2,-5484,-144,0,,,,,,
101,1,-7205,-144,0,,,,,,
102,1,-5099,1187,0,,,,,,
103,1,-1208,1488,0,,,,,,
104,1,275,453,0,,,,,,
105,1,1588,534,0,,,,,,
106,1,5440,1186,0,,,,,,
Crosswalk Width,18,16,16,16,16,,
Mandatory Distance,18,575,575,575,575,,
Mandatory Distance2,18,1101,1101,1761,1761,,
Positioning Distance,18,734,734,1174,1174,,
Positioning Distance2,18,1468,1468,2348,2348,,
Curve Pt X,18,,,,,,
Curve Pt Y,18,,,,,,
Curve Pt Z,18,,,,,,
Link Is Hidden,18,false,false,false,false,,
Street Name Is Hidden,18,false,false,false,false,,
Up ID,19,108,106,18,107,,
Lanes,19,4,5,5,4,,
Name,19,N 19th Ave,N 19th Ave,Dunlap Ave,Dunlap Ave,,
Distance,19,1279,1301,994,1290,,
Speed,19,40,40,40,40,,
Time,19,21.8,22.2,16.9,22.0,,
Grade,19,0,0,0,0,,
Median,19,24,24,12,12,,
Offset,19,0,0,0,0,,
TWLTL,19,0,0,1,1,,
Crosswalk Width,19,16,16,16,16,,
Mandatory Distance,19,770,770,770,770,,
Mandatory Distance2,19,1761,1761,1761,1761,,
Positioning Distance,19,1174,1174,1174,1174,,
Positioning Distance2,19,2348,2348,2348,2348,,
Curve Pt X,19,,,,,,
Curve Pt Y,19,,,,,,
Curve Pt Z,19,,,,,,
Link Is Hidden,19,false,false,false,false,,
Street Name Is Hidden,19,false,false,false,false,,
Up ID,20,,12,,,,
Lanes,20,,0,,,,
Name,20,,Cortez HS Exit ONLY,,,,
Distance,20,,264,,,,
Speed,20,,30,,,,
Time,20,,6.0,,,,
Grade,20,,0,,,,
Median,20,,0,,,,
Offset,20,,0,,,,
TWLTL,20,,0,,,,
Crosswalk Width,20,,16,,,,
Mandatory Distance,20,,200,,,,
Mandatory Distance2,20,,1320,,,,
Positioning Distance,20,,880,,,,
Positioning Distance2,20,,1760,,,,
Curve Pt X,20,,,,,,
Curve Pt Y,20,,,,,,
Curve Pt Z,20,,,,,,
Link Is Hidden,20,,false,,,,
Street Name Is Hidden,20,,false,,,,
Up ID,21,6,,,,,
Lanes,21,1,,,,,
Name,21,,,,,,
Distance,21,359,,,,,
Speed,21,30,,,,,
Time,21,8.2,,,,,
Grade,21,0,,,,,
Median,21,0,,,,,
Offset,21,0,,,,,
TWLTL,21,0,,,,,
Crosswalk Width,21,16,,,,,
Mandatory Distance,21,200,,,,,
Mandatory Distance2,21,1320,,,,,
Positioning Distance,21,880,,,,,
Positioning Distance2,21,1760,,,,,
Curve Pt X,21,,,,,,
Curve Pt Y,21,,,,,,
Curve Pt Z,21,,,,,,
Link Is Hidden,21,false,,,,,
Street Name Is Hidden,21,false,,,,,
Up ID,22,,6,,,,
Lanes,22,,1,,,,
Name,22,,,,,,
Distance,22,,355,,,,
Speed,22,,30,,,,
Time,22,,8.1,,,,
Grade,22,,0,,,,
Median,22,,0,,,,
Offset,22,,0,,,,
TWLTL,22,,0,,,,
Crosswalk Width,22,,16,,,,
Mandatory Distance,22,,200,,,,
Mandatory Distance2,22,,1320,,,,
Positioning Distance,22,,880,,,,
Positioning Distance2,22,,1760,,,,
Curve Pt X,22,,,,,,
Curve Pt Y,22,,,,,,
Curve Pt Z,22,,,,,,
Link Is Hidden,22,,false,,,,
Street Name Is Hidden,22,,false,,,,
Up ID,23,2001,,,,,
Lanes,23,1,,,,,
Name,23,,,,,,
Distance,23,257,,,,,
Speed,23,30,,,,,
Time,23,5.8,,,,,
Grade,23,0,,,,,
Median,23,0,,,,,
Offset,23,0,,,,,
TWLTL,23,0,,,,,
Crosswalk Width,23,16,,,,,
Mandatory Distance,23,200,,,,,
Mandatory Distance2,23,1320,,,,,
Positioning Distance,23,880,,,,,
Positioning Distance2,23,1760,,,,,
Curve Pt X,23,,,,,,
Curve Pt Y,23,,,,,,
Curve Pt Z,23,,,,,,
Link Is Hidden,23,false,,,,,
Street Name Is Hidden,23,false,,,,,
Up ID,24,,,101,11,,
Lanes,24,,,*2,3,,
Name,24,,,Dunlap Ave,Dunlap Ave,,
